entry_date,exit_date,entry_price,exit_price,pnl
2008-01-18,2008-02-15,5705.2998046875,5302.89990234375,-402.39990234375
2008-03-07,2008-03-28,4771.60009765625,4942.0,170.39990234375
2008-06-04,2008-07-18,4585.60009765625,4092.25,-493.35009765625
2008-08-28,2008-09-08,4214.0,4482.2998046875,268.2998046875
2008-09-26,2008-11-10,3985.25,3148.25,-837.0
2008-12-02,2008-12-10,2657.800048828125,2928.25,270.449951171875
2009-03-02,2009-03-17,2674.60009765625,2757.449951171875,82.849853515625
2009-10-30,2009-11-13,4711.7001953125,4998.9501953125,287.25
2009-12-21,2009-12-23,4952.60009765625,5144.60009765625,192.0
2010-01-22,2010-02-17,5036.0,4914.0,-122.0
2010-05-19,2010-06-03,4919.64990234375,5110.5,190.85009765625
2010-11-26,2010-12-14,5751.9501953125,5944.10009765625,192.14990234375
2011-01-19,2011-02-17,5691.0498046875,5546.4501953125,-144.599609375
2011-05-05,2011-06-01,5459.85009765625,5592.0,132.14990234375
2011-06-21,2011-06-28,5275.85009765625,5545.2998046875,269.44970703125
2011-08-05,2011-09-07,5211.25,5124.64990234375,-86.60009765625
2011-11-18,2011-12-13,4905.7998046875,4800.60009765625,-105.19970703125
2011-12-23,2012-01-03,4714.0,4765.2998046875,51.2998046875
2012-03-07,2012-03-27,5220.4501953125,5243.14990234375,22.69970703125
2012-05-08,2012-06-06,4999.9501953125,4997.10009765625,-2.85009765625
2012-07-25,2012-08-01,5109.60009765625,5240.5,130.89990234375
2013-02-07,2013-03-08,5938.7998046875,5945.7001953125,6.900390625
2013-04-01,2013-04-16,5704.39990234375,5688.9501953125,-15.44970703125
2013-06-06,2013-07-01,5921.39990234375,5898.85009765625,-22.5498046875
2013-08-01,2013-09-05,5727.85009765625,5592.9501953125,-134.89990234375
2013-11-22,2013-11-29,5995.4501953125,6176.10009765625,180.64990234375
2014-02-03,2014-02-18,6001.7998046875,6127.10009765625,125.30029296875
2014-10-16,2014-10-21,7748.2001953125,7927.75,179.5498046875
2014-12-12,2015-01-02,8224.099609375,8395.4501953125,171.3505859375
2015-03-23,2015-04-06,8550.900390625,8659.900390625,109.0
2015-04-29,2015-05-18,8239.75,8373.650390625,133.900390625
2015-06-08,2015-06-22,8044.14990234375,8353.099609375,308.94970703125
2015-08-24,2015-09-15,7809.0,7829.10009765625,20.10009765625
2015-11-05,2015-12-01,7955.4501953125,7954.89990234375,-0.55029296875
2016-01-12,2016-02-05,7510.2998046875,7489.10009765625,-21.19970703125
2016-02-12,2016-03-01,6980.9501953125,7222.2998046875,241.349609375
2016-09-29,2016-10-03,8591.25,8738.099609375,146.849609375
2016-11-11,2016-12-05,8296.2998046875,8128.75,-167.5498046875
2017-06-28,2017-07-04,9491.25,9613.2998046875,122.0498046875
2017-08-22,2017-08-31,9765.5498046875,9917.900390625,152.3505859375
2018-02-14,2018-02-27,10500.900390625,10554.2998046875,53.3994140625
2018-03-19,2018-03-27,10094.25,10184.150390625,89.900390625
2018-09-18,2018-11-01,11278.900390625,10380.4501953125,-898.4501953125
2019-05-10,2019-05-20,11278.900390625,11828.25,549.349609375
2019-06-24,2019-06-26,11699.650390625,11847.5498046875,147.8994140625
2019-07-19,2019-08-26,11419.25,11057.849609375,-361.400390625
2020-01-31,2020-02-11,11962.099609375,12107.900390625,145.80078125
2020-02-27,2020-04-09,11633.2998046875,9111.900390625,-2521.3994140625
2020-09-24,2020-10-05,10805.5498046875,11503.349609375,697.7998046875
2021-03-24,2021-04-08,14549.400390625,14873.7998046875,324.3994140625
2021-11-26,2021-12-10,17026.44921875,17511.30078125,484.8515625
2022-02-07,2022-02-15,17213.599609375,17352.44921875,138.849609375
2022-02-24,2022-03-17,16247.9501953125,17287.05078125,1039.1005859375
2022-05-11,2022-05-27,16167.099609375,16352.4501953125,185.3505859375
2022-06-16,2022-07-04,15360.599609375,15835.349609375,474.75
2022-09-28,2022-10-17,16858.599609375,17311.80078125,453.201171875
2022-12-21,2023-01-12,18199.099609375,17858.19921875,-340.900390625
2023-02-28,2023-04-03,17303.94921875,17398.05078125,94.1015625
2023-10-04,2023-10-12,19436.099609375,19794.0,357.900390625
2023-10-26,2023-11-13,18857.25,19443.55078125,586.30078125
2024-10-16,2024-11-26,24971.30078125,24194.5,-776.80078125
2024-12-26,2025-01-31,23750.19921875,23508.400390625,-241.798828125
2025-02-19,2025-03-18,22932.900390625,22834.30078125,-98.599609375
2025-07-17,2025-08-18,25111.44921875,24876.94921875,-234.5
2026-01-20,2026-02-04,25232.5,25776.0,543.5
