date,etf,close
2020-01-01,NSE:CPSEETF,23.549999237060547
2020-01-01,NSE:MON100,61.70600128173828
2020-01-01,NSE:NIFTYBEES,129.4199981689453
2020-01-01,NSE:BANKBEES,328.30999755859375
2020-01-01,NSE:LOWVOLIETF,9.23799991607666
2020-01-01,NSE:MOM100,17.979999542236328
2020-01-02,NSE:BANKBEES,331.92999267578125
2020-01-02,NSE:LOWVOLIETF,9.258000373840332
2020-01-02,NSE:MON100,61.54999923706055
2020-01-02,NSE:NIFTYBEES,130.13999938964844
2020-01-02,NSE:MOM100,18.170000076293945
2020-01-02,NSE:CPSEETF,23.670000076293945
2020-01-03,NSE:LOWVOLIETF,9.168999671936035
2020-01-03,NSE:MOM100,18.139999389648438
2020-01-03,NSE:BANKBEES,326.5400085449219
2020-01-03,NSE:MON100,61.25699996948242
2020-01-03,NSE:CPSEETF,23.649999618530273
2020-01-03,NSE:NIFTYBEES,129.7100067138672
2020-01-06,NSE:MOM100,17.920000076293945
2020-01-06,NSE:BANKBEES,319.17999267578125
2020-01-06,NSE:NIFTYBEES,127.37000274658203
2020-01-06,NSE:CPSEETF,23.079999923706055
2020-01-06,NSE:MON100,61.65399932861328
2020-01-06,NSE:LOWVOLIETF,9.402000427246094
2020-01-07,NSE:BANKBEES,320.1700134277344
2020-01-07,NSE:NIFTYBEES,127.76000213623047
2020-01-07,NSE:MON100,62.909000396728516
2020-01-07,NSE:MOM100,17.979999542236328
2020-01-07,NSE:LOWVOLIETF,9.154999732971191
2020-01-07,NSE:CPSEETF,23.299999237060547
2020-01-08,NSE:BANKBEES,319.4700012207031
2020-01-08,NSE:LOWVOLIETF,9.128999710083008
2020-01-08,NSE:MOM100,18.0
2020-01-08,NSE:NIFTYBEES,127.55999755859375
2020-01-08,NSE:MON100,62.31999969482422
2020-01-08,NSE:CPSEETF,22.940000534057617
2020-01-09,NSE:MOM100,18.139999389648438
2020-01-09,NSE:NIFTYBEES,129.33999633789062
2020-01-09,NSE:BANKBEES,327.010009765625
2020-01-09,NSE:LOWVOLIETF,9.187999725341797
2020-01-09,NSE:MON100,63.13800048828125
2020-01-09,NSE:CPSEETF,22.959999084472656
2020-01-10,NSE:MOM100,18.309999465942383
2020-01-10,NSE:NIFTYBEES,129.61000061035156
2020-01-10,NSE:BANKBEES,327.82000732421875
2020-01-10,NSE:LOWVOLIETF,9.251999855041504
2020-01-10,NSE:MON100,63.43899917602539
2020-01-10,NSE:CPSEETF,23.25
2020-01-13,NSE:MON100,62.694000244140625
2020-01-13,NSE:NIFTYBEES,130.41000366210938
2020-01-13,NSE:LOWVOLIETF,9.345000267028809
2020-01-13,NSE:BANKBEES,328.6499938964844
2020-01-13,NSE:MOM100,18.420000076293945
2020-01-13,NSE:CPSEETF,23.6200008392334
2020-01-14,NSE:CPSEETF,23.75
2020-01-14,NSE:MON100,62.81700134277344
2020-01-14,NSE:NIFTYBEES,131.00999450683594
2020-01-14,NSE:LOWVOLIETF,9.413999557495117
2020-01-14,NSE:BANKBEES,327.8299865722656
2020-01-14,NSE:MOM100,18.540000915527344
2020-01-15,NSE:MON100,63.18000030517578
2020-01-15,NSE:CPSEETF,23.81999969482422
2020-01-15,NSE:NIFTYBEES,131.00999450683594
2020-01-15,NSE:MOM100,18.719999313354492
2020-01-15,NSE:BANKBEES,324.79998779296875
