strategy,side,open_ts,close_ts,entry,exit,qty,pnl,fee,pnl_pct,holding_hrs,reason
grid,long,2020-11-08 20:00,2020-11-08 22:00,15144.6705,15500.0,12.545766,4258.56,199.32,2.241,2,grid TP hit (15371.84)
grid,long,2020-11-08 23:00,2020-11-09 00:00,15242.9735,15549.62,13.738035,3996.43,216.29,1.908,1,grid TP hit (15471.62)
grid,long,2020-11-09 01:00,2020-11-09 11:00,15276.6506,15802.39,15.103314,7671.9,268.5,3.325,10,grid TP hit (15505.80)
grid,long,2020-11-09 12:00,2020-11-11 10:00,15331.791,15590.79,16.60243,3892.33,407.68,1.529,46,grid TP hit (15561.77)
grid,long,2020-11-11 11:00,2020-11-11 12:00,15340.8628,15620.0,18.275586,4812.36,289.03,1.716,1,grid TP hit (15570.98)
grid,long,2020-11-11 13:00,2020-11-11 14:00,15324.4822,15636.49,20.154207,5969.19,319.08,1.933,1,grid TP hit (15554.35)
grid,long,2020-11-11 15:00,2020-11-11 16:00,15432.2609,15756.43,22.051474,6796.61,351.8,1.997,1,grid TP hit (15663.74)
dca,long,2020-11-07 18:00,2020-11-11 17:00,14927.95,15865.48,12.852968,11603.97,446.07,6.048,95,DCA target hit (15823.63)
grid,long,2020-11-11 17:00,2020-11-12 07:00,15627.4978,15862.75,23.994893,5197.62,447.23,1.386,14,grid TP hit (15861.91)
grid,long,2020-11-12 08:00,2020-11-12 09:00,15554.657,16048.99,27.857101,13318.02,452.67,3.074,1,grid TP hit (15787.98)
grid,long,2020-11-12 10:00,2020-11-12 11:00,15469.3265,15762.55,30.895132,8566.11,493.07,1.792,1,grid TP hit (15701.37)
