strategy,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,net_pnl,pnl_pct,reason,regime,duration,rsi_entry_d,rsi_exit_d,rsi_weekly,rsi_monthly,signal_candle_high,signal_candle_low,instrument
GFS Advanced,2012-11-23,2012-11-29,427.76,439.89,174,2110.89,182.92,1927.97,2.59,RSI Target 60,bull,6,42.4,62.6,61.9,90.2,427.54,420.67,HUL
GFS Advanced,2013-07-02,2013-07-05,474.83,489.0,160,2267.38,186.51,2080.87,2.74,RSI Target 60,bull,3,39.6,65.0,85.9,73.4,474.59,469.54,HUL
GFS Advanced,2014-10-07,2014-10-10,616.86,596.14,126,-2611.52,185.35,-2796.87,-3.6,Stop Loss (candle low),bull,3,36.0,32.3,67.3,69.6,616.55,599.98,HUL
GFS Advanced,2015-02-11,2015-03-03,754.18,775.75,100,2156.64,185.16,1971.48,2.61,RSI Target 60,bull,20,36.4,61.2,65.0,77.8,753.8,738.12,HUL
GFS Advanced,2015-03-23,2015-03-24,760.07,740.29,102,-2017.98,185.52,-2203.5,-2.84,Stop Loss (candle low),bull,1,41.3,39.4,60.7,77.8,759.69,744.58,HUL
GFS Advanced,2017-10-06,2017-10-17,1060.81,1121.46,71,4305.96,187.16,4118.8,5.47,RSI Target 60,bull,11,40.8,66.7,66.9,73.7,1060.28,1042.74,HUL
GFS Advanced,2019-01-10,2019-01-11,1606.52,1578.42,49,-1376.89,188.84,-1565.73,-1.99,Stop Loss (candle low),bull,1,35.7,38.9,72.4,78.9,1605.72,1586.98,HUL
GFS Advanced,2019-11-11,2019-11-15,1898.62,1858.48,41,-1646.04,186.61,-1832.65,-2.35,Stop Loss (candle low),bull,4,41.8,30.9,64.5,68.5,1897.68,1867.82,HUL
GFS Advanced,2021-10-05,2021-10-07,2516.01,2471.32,30,-1340.55,181.67,-1522.23,-2.02,Stop Loss (candle low),bull,2,40.7,42.3,65.5,64.3,2514.75,2486.69,HUL
GFS Basic,2006-04-28,2006-05-03,36.68,37.82,2590,2952.52,229.47,2723.05,2.87,RSI Target 60,bull,5,44.4,60.4,80.3,88.9,36.66,34.44,ITC
GFS Basic,2006-09-20,2006-10-03,34.61,34.55,2819,-175.27,231.96,-407.22,-0.42,RSI Target 60,bull,13,43.2,60.2,63.5,68.3,34.59,33.31,ITC
GFS Basic,2006-11-09,2006-11-14,34.58,33.86,2810,-2035.1,229.17,-2264.27,-2.33,Stop Loss (candle low),bull,5,38.4,48.3,68.9,68.1,34.56,34.1,ITC
GFS Basic,2007-10-11,2007-10-19,35.72,33.08,2661,-7016.42,219.27,-7235.7,-7.61,Stop Loss (candle low),bull,8,44.6,34.7,61.5,60.1,35.7,33.85,ITC
GFS Basic,2009-08-18,2009-08-28,44.62,46.31,1976,3334.64,214.72,3119.92,3.54,RSI Target 60,bull,10,40.8,60.4,72.5,61.4,44.6,42.91,ITC
GFS Basic,2009-09-15,2009-10-05,45.14,46.69,2019,3129.54,221.1,2908.44,3.19,RSI Target 60,bull,20,37.3,62.3,65.8,65.0,45.12,43.9,ITC
GFS Basic,2009-11-16,2009-11-23,50.7,52.61,1851,3529.06,227.55,3301.51,3.52,RSI Target 60,bull,7,40.4,70.2,64.9,68.7,50.68,49.45,ITC
GFS Basic,2010-05-03,2010-05-06,52.23,50.7,1857,-2841.12,227.93,-3069.06,-3.16,Stop Loss (candle low),bull,3,40.6,29.9,63.3,73.6,52.21,51.13,ITC
GFS Basic,2010-07-22,2010-07-29,60.67,62.95,1551,3542.6,228.1,3314.5,3.52,RSI Target 60,bull,7,40.1,65.8,80.2,78.9,60.64,54.08,ITC
GFS Basic,2010-10-08,2010-10-20,70.45,68.21,1380,-3094.73,228.17,-3322.91,-3.42,Stop Loss (candle low),bull,12,42.7,25.9,71.9,79.2,70.42,68.86,ITC
GFS Basic,2011-05-09,2011-05-25,75.92,76.78,1239,1062.98,225.46,837.52,0.89,RSI Target 60,bull,16,37.9,61.4,74.0,83.9,75.88,73.93,ITC
GFS Basic,2011-08-22,2011-09-12,84.42,81.59,1124,-3179.89,222.9,-3402.79,-3.59,Stop Loss (candle low),bull,21,41.8,44.8,58.7,74.2,84.38,81.74,ITC
GFS Basic,2012-05-07,2012-05-08,99.49,94.36,921,-4726.04,214.06,-4940.09,-5.39,Stop Loss (candle low),bull,1,42.3,22.3,79.2,81.9,99.44,97.04,ITC
GFS Basic,2012-05-30,2012-05-31,97.56,95.38,891,-1939.55,206.48,-2146.03,-2.47,Stop Loss (candle low),bull,1,41.7,44.1,68.0,69.9,97.51,95.86,ITC
GFS Basic,2012-09-21,2012-09-24,112.32,108.52,756,-2874.62,201.05,-3075.67,-3.62,Stop Loss (candle low),bull,3,43.0,38.0,61.0,73.4,112.27,108.94,ITC
GFS Basic,2014-04-07,2014-04-29,149.54,146.59,548,-1616.33,195.77,-1812.09,-2.21,Stop Loss (candle low),bull,22,36.3,44.5,61.0,61.8,149.47,146.74,ITC
GFS Basic,2014-05-09,2014-05-13,150.58,155.45,533,2594.66,196.37,2398.29,2.99,RSI Target 60,bull,4,39.3,60.4,61.2,61.9,150.5,147.0,ITC
GFS Basic,2017-02-23,2017-03-17,184.97,193.77,446,3927.58,202.72,3724.86,4.52,RSI Target 60,bull,22,39.4,69.7,74.6,65.9,184.87,180.23,ITC
GFS Basic,2017-04-11,2017-04-26,194.9,200.42,441,2435.94,208.85,2227.08,2.59,RSI Target 60,bull,15,42.8,64.4,66.4,71.6,194.8,187.26,ITC
