strategy,instrument,cagr,total_return,final_value,max_dd,sharpe,calmar,win_rate,total_trades,avg_win,avg_loss,profit_factor,avg_duration,expectancy,years,gross_cagr,cagr_drag,total_costs,total_stt,total_dp,total_stamp,total_txn,total_gst,avg_cost_pct,bull_trades,bull_wr,bull_avg_pnl,bear_trades,bear_wr,bear_avg_pnl,sideways_trades,sideways_wr,sideways_avg_pnl
Bollinger Band Bounce,HDFC Life,-1.82,-12.92,87079.0,19.02,-0.19,-0.1,50.0,16,2.61,-4.31,0.6,16.0,-0.85,7.5,-1.3,0.52,3512.0,2939.0,245.0,221.0,87.0,16.0,0.238,15,53.3,-0.62,0,0.0,0.0,1,0.0,-4.31
RSI Oversold Bounce,Shree Cement,-1.54,-28.28,71719.0,43.99,-0.19,-0.03,37.8,45,6.87,-5.31,0.75,14.0,-0.71,21.4,-1.05,0.49,8040.0,6614.0,690.0,498.0,196.0,35.0,0.244,41,41.5,-0.26,3,0.0,-5.31,1,0.0,-5.3
Triple MA Momentum,Reliance,-0.67,-13.36,86643.0,19.04,-0.2,-0.03,18.2,11,6.98,-3.12,0.48,13.0,-1.29,21.4,-0.54,0.13,2381.0,1990.0,169.0,150.0,59.0,11.0,0.238,10,20.0,-0.94,0,0.0,0.0,1,0.0,-4.72
Golden Cross,Dr. Reddy's,-1.39,-25.86,74135.0,26.76,-0.2,-0.05,20.0,10,7.16,-5.51,0.29,40.0,-2.97,21.4,-1.27,0.12,1931.0,1598.0,153.0,122.0,47.0,9.0,0.238,10,20.0,-2.97,0,0.0,0.0,0,0.0,0.0
52-Week High Breakout,Dr. Reddy's,-2.36,-40.02,59977.0,50.41,-0.2,-0.05,34.5,29,5.31,-5.36,0.5,42.0,-1.68,21.4,-1.96,0.39,5397.0,4455.0,445.0,337.0,132.0,24.0,0.241,29,34.5,-1.68,0,0.0,0.0,0,0.0,0.0
BB Squeeze Breakout,Apollo Hosp.,-5.28,-68.74,31255.0,86.49,-0.2,-0.06,27.4,135,9.2,-4.41,0.64,15.0,-0.68,21.4,-3.61,1.67,14174.0,10890.0,2071.0,821.0,323.0,58.0,0.268,96,27.1,-0.22,11,9.1,-3.69,28,35.7,-1.06
MACD Trend,HDFC Bank,-2.27,-38.87,61128.0,46.94,-0.21,-0.05,32.1,112,4.05,-2.5,0.7,13.0,-0.39,21.5,-1.07,1.2,18331.0,14951.0,1718.0,1123.0,444.0,80.0,0.245,98,32.7,-0.26,5,40.0,-0.66,9,22.2,-1.68
Bollinger Band Bounce,Bharti Airtel,-1.8,-32.28,67722.0,45.39,-0.21,-0.04,39.1,46,4.69,-4.31,0.69,8.0,-0.79,21.4,-1.2,0.6,9382.0,7807.0,706.0,587.0,232.0,42.0,0.24,45,40.0,-0.71,0,0.0,0.0,1,0.0,-4.31
Stochastic Reversal,JSW Steel,-0.76,-15.11,84894.0,15.45,-0.21,-0.05,31.2,32,3.24,-2.19,0.65,3.0,-0.49,21.5,-0.41,0.35,6701.0,5589.0,491.0,420.0,166.0,30.0,0.24,29,31.0,-0.42,1,100.0,1.7,2,0.0,-2.64
Bollinger Band Bounce,Cipla,-1.44,-26.79,73212.0,30.77,-0.21,-0.05,42.1,38,3.82,-4.13,0.63,13.0,-0.78,21.5,-1.01,0.43,7218.0,5970.0,583.0,449.0,177.0,32.0,0.241,36,44.4,-0.59,0,0.0,0.0,2,0.0,-4.31
Golden Cross,Adani Ent.,-1.62,-29.62,70382.0,32.4,-0.22,-0.05,25.0,8,0.94,-6.31,0.05,16.0,-4.5,21.5,-1.52,0.1,1555.0,1287.0,123.0,99.0,38.0,7.0,0.237,8,25.0,-4.5,0,0.0,0.0,0,0.0,0.0
Stochastic Reversal,Britannia,-0.76,-15.08,84924.0,20.58,-0.22,-0.04,25.8,31,2.77,-1.67,0.56,4.0,-0.52,21.5,-0.42,0.34,6403.0,5335.0,476.0,401.0,158.0,29.0,0.24,24,33.3,-0.12,6,0.0,-1.97,1,0.0,-1.63
ADX Breakout,SBI Life,-1.24,-9.1,90903.0,18.02,-0.22,-0.07,35.7,14,1.35,-1.84,0.4,13.0,-0.7,7.7,-0.82,0.42,2993.0,2500.0,215.0,188.0,74.0,13.0,0.239,14,35.7,-0.7,0,0.0,0.0,0,0.0,0.0
