strategy,instrument,cagr,total_return,final_value,max_dd,sharpe,calmar,win_rate,total_trades,avg_win,avg_loss,profit_factor,avg_duration,expectancy,years,gross_cagr,cagr_drag,total_costs,total_stt,total_dp,total_stamp,total_txn,total_gst,avg_cost_pct,bull_trades,bull_wr,bull_avg_pnl,bear_trades,bear_wr,bear_avg_pnl,sideways_trades,sideways_wr,sideways_avg_pnl
Stochastic Reversal,SBI Life,-0.74,-5.55,94445.0,8.25,-0.38,-0.09,33.3,9,1.0,-1.49,0.34,3.0,-0.66,7.7,-0.47,0.27,1987.0,1664.0,138.0,125.0,49.0,9.0,0.238,6,33.3,-0.49,2,50.0,-0.05,1,0.0,-2.91
Trend + RSI Pullback,UltraCemco,-1.27,-24.03,75969.0,24.03,-0.39,-0.05,16.7,18,3.42,-2.65,0.26,8.0,-1.64,21.4,-1.06,0.21,3515.0,2914.0,276.0,220.0,87.0,16.0,0.24,16,18.8,-1.43,0,0.0,0.0,2,0.0,-3.3
Trend + RSI Pullback,Kotak Bank,-1.76,-31.64,68364.0,35.81,-0.4,-0.05,18.2,22,4.45,-3.13,0.3,12.0,-1.75,21.5,-1.49,0.27,4169.0,3446.0,337.0,261.0,102.0,18.0,0.24,21,19.0,-1.75,0,0.0,0.0,1,0.0,-1.79
ADX Breakout,Cipla,-2.68,-44.19,55814.0,52.98,-0.41,-0.05,22.9,48,2.85,-2.45,0.37,8.0,-1.23,21.5,-2.03,0.66,8639.0,7111.0,736.0,536.0,211.0,38.0,0.243,44,25.0,-0.93,0,0.0,0.0,4,0.0,-4.53
ADX Breakout,Infosys,-2.34,-39.89,60109.0,40.19,-0.42,-0.06,21.7,46,3.79,-2.48,0.39,11.0,-1.11,21.5,-1.77,0.57,8042.0,6601.0,706.0,497.0,196.0,35.0,0.243,44,22.7,-0.95,1,0.0,-2.1,1,0.0,-7.3
MACD Trend,Cipla,-5.06,-67.16,32836.0,68.37,-0.43,-0.07,29.8,114,4.05,-3.07,0.54,11.0,-0.95,21.5,-3.34,1.72,15443.0,12322.0,1749.0,928.0,366.0,66.0,0.253,84,25.0,-1.3,15,26.7,-0.55,15,60.0,0.63
52-Week High Breakout,Axis Bank,-5.41,-69.64,30365.0,69.64,-0.44,-0.08,20.5,39,8.73,-5.97,0.33,28.0,-2.96,21.4,-4.73,0.67,4983.0,3943.0,598.0,301.0,117.0,21.0,0.253,39,20.5,-2.96,0,0.0,0.0,0,0.0,0.0
MACD Trend,Coal India,-5.16,-53.77,46228.0,62.29,-0.44,-0.08,27.0,63,5.22,-3.52,0.45,12.0,-1.16,14.6,-3.97,1.19,9214.0,7420.0,966.0,560.0,220.0,40.0,0.249,47,29.8,-0.72,9,0.0,-3.92,7,42.9,-0.58
MACD Trend,HCL Tech,-5.67,-71.41,28585.0,78.15,-0.45,-0.07,30.3,119,4.19,-3.27,0.4,12.0,-1.02,21.5,-4.11,1.56,12066.0,9213.0,1825.0,695.0,274.0,49.0,0.268,105,31.4,-0.78,4,0.0,-5.04,10,30.0,-1.91
MACD Trend,IndusInd Bank,-5.34,-69.18,30820.0,69.32,-0.46,-0.08,29.0,107,4.29,-3.25,0.4,9.0,-1.07,21.4,-3.93,1.41,11534.0,8900.0,1641.0,672.0,264.0,48.0,0.262,89,28.1,-1.34,11,18.2,-2.06,7,57.1,4.04
52-Week High Breakout,Adani Ports,-6.5,-69.16,30840.0,72.39,-0.46,-0.09,18.2,33,4.42,-5.38,0.16,24.0,-3.6,17.5,-5.75,0.75,4649.0,3725.0,506.0,284.0,111.0,20.0,0.249,33,18.2,-3.6,0,0.0,0.0,0,0.0,0.0
Stochastic Reversal,Reliance,-1.3,-24.52,75477.0,26.2,-0.48,-0.05,24.1,29,1.99,-1.95,0.3,3.0,-1.0,21.4,-0.97,0.33,5579.0,4620.0,445.0,348.0,137.0,25.0,0.241,25,24.0,-1.07,1,0.0,-1.35,3,33.3,-0.23
52-Week High Breakout,HDFC Life,-4.35,-28.51,71491.0,32.38,-0.5,-0.13,22.2,9,4.06,-6.01,0.19,35.0,-3.77,7.5,-4.05,0.31,1761.0,1459.0,138.0,111.0,43.0,8.0,0.237,9,22.2,-3.77,0,0.0,0.0,0,0.0,0.0
Stochastic Reversal,Tata Consumer,-1.96,-34.55,65447.0,34.55,-0.56,-0.06,22.6,31,1.98,-2.39,0.23,3.0,-1.41,21.4,-1.57,0.39,5823.0,4811.0,476.0,363.0,143.0,26.0,0.241,23,26.1,-1.36,7,14.3,-1.58,1,0.0,-1.3
MACD Trend,HDFC Life,-4.29,-28.13,71874.0,29.21,-0.56,-0.15,28.0,25,3.25,-3.11,0.38,11.0,-1.33,7.5,-3.48,0.8,4681.0,3866.0,383.0,292.0,115.0,21.0,0.241,18,27.8,-1.58,2,50.0,-1.06,5,20.0,-0.52
MACD Trend,JSW Steel,-7.11,-79.42,20577.0,81.11,-0.58,-0.09,27.1,107,5.16,-3.87,0.51,10.0,-1.43,21.5,-4.79,2.32,14325.0,11411.0,1641.0,861.0,339.0,61.0,0.256,90,30.0,-1.07,11,9.1,-3.44,6,16.7,-3.12
Stochastic Reversal,Coal India,-1.24,-16.68,83317.0,19.29,-0.58,-0.06,18.8,16,1.53,-1.81,0.2,4.0,-1.18,14.6,-0.98,0.27,3356.0,2799.0,245.0,211.0,83.0,15.0,0.239,13,15.4,-1.03,3,33.3,-1.82,0,0.0,0.0
ADX Breakout,HCL Tech,-3.51,-53.53,46472.0,53.81,-0.65,-0.07,12.5,40,2.24,-2.57,0.14,8.0,-1.97,21.5,-2.91,0.6,6603.0,5388.0,614.0,408.0,160.0,29.0,0.244,39,12.8,-1.95,0,0.0,0.0,1,0.0,-2.67
ADX Breakout,UPL,-4.31,-61.12,38876.0,61.38,-0.67,-0.07,9.5,42,0.94,-2.67,0.03,7.0,-2.32,21.4,-3.66,0.64,6021.0,4836.0,644.0,367.0,144.0,26.0,0.248,38,10.5,-2.15,0,0.0,0.0,4,0.0,-3.92
Trend + RSI Pullback,Shree Cement,-1.12,-21.44,78561.0,23.74,-0.67,-0.05,9.1,11,3.84,-3.21,0.1,7.0,-2.57,21.4,-1.0,0.12,2003.0,1650.0,169.0,125.0,49.0,9.0,0.241,10,10.0,-2.73,0,0.0,0.0,1,0.0,-0.98
ADX Breakout,HDFC Life,-2.87,-19.68,80316.0,20.53,-0.79,-0.14,0.0,10,0.0,-2.29,0.0,10.0,-2.29,7.5,-2.54,0.32,2043.0,1700.0,153.0,129.0,50.0,9.0,0.238,10,0.0,-2.29,0,0.0,0.0,0,0.0,0.0
Triple MA Momentum,SBI Life,-1.97,-14.15,85853.0,14.15,-0.82,-0.14,0.0,4,0.0,-3.96,0.0,13.0,-3.96,7.7,-1.85,0.12,836.0,696.0,61.0,53.0,21.0,4.0,0.236,4,0.0,-3.96,0,0.0,0.0,0,0.0,0.0
