strategy,instrument,cagr,total_return,final_value,max_dd,sharpe,calmar,win_rate,total_trades,avg_win,avg_loss,profit_factor,avg_duration,total_costs,expectancy,avg_rsi_entry,years,bull_wr,bull_pnl,bear_wr,bear_pnl,sideways_wr,sideways_pnl
GFS Basic,Bajaj Finance,-0.86,-15.88,84118.0,32.02,-0.21,-0.03,43.2,37,4.27,-3.91,0.8,7.1,8290.0,-0.37,41.2,20.0,48.5,-0.0,0.0,-4.42,0.0,-2.44
GFS Basic,SBI Life,-0.25,-1.55,98450.0,5.52,-0.21,-0.05,57.1,7,1.98,-3.13,0.82,8.9,1544.0,-0.21,41.3,6.2,66.7,0.3,0.0,0.0,0.0,-3.29
GFS Advanced,Shree Cement,-0.62,-11.75,88247.0,17.41,-0.24,-0.04,48.4,31,3.94,-4.34,0.8,7.3,6173.0,-0.33,40.7,20.0,50.0,-0.28,0.0,0.0,0.0,-2.02
GFS Advanced,Infosys,-0.26,-5.0,95003.0,10.9,-0.25,-0.02,50.0,16,1.71,-2.34,0.71,8.1,3487.0,-0.31,41.2,20.0,50.0,-0.31,0.0,0.0,0.0,0.0
GFS Advanced,SBI,-0.4,-7.65,92353.0,10.09,-0.25,-0.04,45.5,22,2.7,-2.86,0.76,6.9,4751.0,-0.33,41.4,20.0,42.9,-0.44,0.0,0.0,100.0,1.98
GFS Basic,ITC,-0.61,-11.44,88565.0,18.17,-0.28,-0.03,39.4,33,3.56,-2.85,0.78,8.5,7102.0,-0.33,41.1,20.0,40.6,-0.27,0.0,-2.31,0.0,0.0
GFS Basic,Tata Consumer,-0.83,-15.29,84709.0,24.61,-0.33,-0.03,52.4,21,3.58,-5.4,0.66,9.8,3991.0,-0.7,41.4,20.0,52.4,-0.7,0.0,0.0,0.0,0.0
GFS Advanced,Apollo Hosp.,-0.61,-11.44,88556.0,19.45,-0.35,-0.03,37.5,16,3.18,-3.1,0.57,9.6,3250.0,-0.75,42.1,20.0,37.5,-0.75,0.0,0.0,0.0,0.0
GFS Advanced,BPCL,-0.71,-13.24,86765.0,21.95,-0.36,-0.03,33.3,12,4.92,-4.15,0.55,4.8,2493.0,-1.12,41.3,20.0,33.3,-1.12,0.0,0.0,0.0,0.0
GFS Basic,Shree Cement,-0.98,-17.77,82233.0,23.39,-0.36,-0.04,51.4,35,3.54,-4.75,0.72,8.3,6316.0,-0.49,40.8,20.0,52.9,-0.44,0.0,0.0,0.0,-2.02
GFS Basic,L&T,-0.78,-14.41,85587.0,21.99,-0.37,-0.04,40.9,22,3.76,-3.75,0.69,7.0,4814.0,-0.68,40.9,20.0,40.9,-0.68,0.0,0.0,0.0,0.0
GFS Advanced,Wipro,-0.52,-9.85,90147.0,11.92,-0.37,-0.04,33.3,12,4.19,-3.33,0.6,6.9,2632.0,-0.82,40.5,20.0,33.3,-0.82,0.0,0.0,0.0,0.0
GFS Advanced,Titan,-0.49,-9.29,90705.0,12.28,-0.38,-0.04,50.0,16,2.64,-3.82,0.66,6.6,3391.0,-0.59,40.4,20.0,50.0,-0.59,0.0,0.0,0.0,0.0
GFS Advanced,Maruti,-0.58,-10.97,89028.0,13.39,-0.41,-0.04,31.6,19,3.93,-2.67,0.65,5.5,4039.0,-0.59,41.2,20.0,31.6,-0.59,0.0,0.0,0.0,0.0
GFS Basic,Infosys,-1.04,-18.91,81086.0,36.29,-0.42,-0.03,53.3,30,2.68,-4.38,0.66,9.0,6256.0,-0.62,41.6,20.0,53.3,-0.62,0.0,0.0,0.0,0.0
GFS Advanced,IndusInd Bank,-0.55,-10.5,89501.0,18.34,-0.42,-0.03,56.2,16,1.74,-3.8,0.54,8.2,3178.0,-0.68,42.1,20.0,56.2,-0.68,0.0,0.0,0.0,0.0
GFS Advanced,Bharti Airtel,-0.59,-11.07,88926.0,21.65,-0.46,-0.03,45.0,20,2.46,-3.04,0.62,7.6,4031.0,-0.57,41.1,20.0,45.0,-0.57,0.0,0.0,0.0,0.0
GFS Advanced,Power Grid,-0.62,-9.56,90440.0,18.84,-0.46,-0.03,42.9,14,2.5,-3.12,0.56,5.1,2835.0,-0.71,42.0,16.2,42.9,-0.71,0.0,0.0,0.0,0.0
GFS Basic,Hindalco,-1.28,-22.67,77333.0,28.61,-0.46,-0.04,36.0,25,5.8,-4.71,0.65,8.8,4957.0,-0.93,40.9,20.0,36.0,-0.93,0.0,0.0,0.0,0.0
GFS Advanced,Tech Mahindra,-0.95,-15.2,84797.0,17.54,-0.47,-0.05,21.4,14,6.57,-3.26,0.53,6.8,2992.0,-1.16,41.0,17.4,23.1,-1.08,0.0,0.0,0.0,-2.1
GFS Basic,Dr. Reddy's,-1.32,-23.37,76632.0,36.51,-0.48,-0.04,29.4,17,5.87,-4.56,0.55,9.2,3940.0,-1.49,40.2,20.0,29.4,-1.49,0.0,0.0,0.0,0.0
GFS Basic,Wipro,-1.02,-18.48,81523.0,23.58,-0.49,-0.04,36.8,19,3.36,-3.63,0.53,6.7,4158.0,-1.05,40.5,20.0,36.8,-1.05,0.0,0.0,0.0,0.0
GFS Basic,ONGC,-1.23,-21.95,78045.0,25.4,-0.51,-0.05,31.6,19,4.31,-3.8,0.48,13.6,3787.0,-1.24,40.9,20.0,27.8,-1.4,0.0,0.0,100.0,1.58
GFS Advanced,Eicher Motors,-1.19,-21.29,78712.0,21.29,-0.51,-0.06,40.0,25,3.73,-4.05,0.58,7.8,4939.0,-0.94,41.2,20.0,41.7,-0.88,0.0,0.0,0.0,-2.26
GFS Advanced,Dr. Reddy's,-1.01,-18.37,81627.0,28.39,-0.53,-0.04,11.1,9,14.72,-4.3,0.43,5.2,1977.0,-2.19,40.8,20.0,11.1,-2.19,0.0,0.0,0.0,0.0
GFS Advanced,TCS,-0.78,-14.42,85584.0,20.48,-0.54,-0.04,25.0,16,4.74,-2.86,0.55,9.0,3484.0,-0.96,40.8,20.0,25.0,-0.96,0.0,0.0,0.0,0.0
GFS Basic,Adani Ent.,-1.75,-29.77,70233.0,34.22,-0.55,-0.05,35.7,28,5.47,-4.85,0.55,6.9,5008.0,-1.16,40.8,20.0,37.0,-0.8,0.0,0.0,0.0,-10.79
GFS Basic,Power Grid,-1.06,-15.86,84138.0,25.95,-0.56,-0.04,34.8,23,3.85,-3.16,0.59,7.4,4408.0,-0.72,42.0,16.2,34.8,-0.72,0.0,0.0,0.0,0.0
GFS Basic,TCS,-1.56,-26.88,73118.0,32.33,-0.57,-0.05,32.3,31,4.36,-3.53,0.59,8.2,6468.0,-0.98,40.9,20.0,30.0,-1.26,100.0,7.49,0.0,0.0
GFS Basic,BPCL,-1.43,-25.03,74966.0,28.21,-0.6,-0.05,34.8,23,4.79,-4.39,0.57,8.8,4797.0,-1.2,40.7,20.0,34.8,-1.2,0.0,0.0,0.0,0.0
GFS Basic,Bharti Airtel,-1.16,-20.86,79144.0,31.56,-0.61,-0.04,43.3,30,2.45,-3.23,0.57,8.0,6161.0,-0.77,40.4,20.0,43.3,-0.77,0.0,0.0,0.0,0.0
GFS Basic,ICICI Bank,-1.48,-25.79,74209.0,34.22,-0.64,-0.04,41.4,29,3.45,-4.12,0.58,7.9,5679.0,-0.99,41.0,20.0,42.9,-0.83,0.0,-5.5,0.0,0.0
GFS Basic,Maruti,-1.42,-24.76,75238.0,26.94,-0.64,-0.05,39.4,33,3.14,-3.49,0.56,7.8,6233.0,-0.88,40.4,20.0,41.9,-0.77,0.0,0.0,0.0,-2.57
GFS Advanced,Britannia,-0.97,-17.67,82330.0,18.7,-0.65,-0.05,36.8,19,3.12,-3.43,0.5,7.5,3831.0,-1.02,40.7,20.0,36.8,-1.02,0.0,0.0,0.0,0.0
GFS Basic,Apollo Hosp.,-1.34,-23.65,76352.0,27.4,-0.69,-0.05,33.3,24,2.97,-3.17,0.43,7.8,4649.0,-1.12,41.4,20.0,34.8,-1.05,0.0,-2.94,0.0,0.0
GFS Basic,Tech Mahindra,-1.82,-27.28,72721.0,27.77,-0.7,-0.07,33.3,24,4.14,-4.02,0.48,8.1,4589.0,-1.3,40.4,17.4,34.8,-1.27,0.0,0.0,0.0,-2.1
GFS Advanced,Sun Pharma,-1.11,-20.02,79982.0,22.98,-0.74,-0.05,31.8,22,2.37,-2.63,0.43,8.1,4599.0,-1.04,39.9,20.0,31.8,-1.03,0.0,0.0,0.0,0.0
GFS Advanced,NTPC,-0.73,-13.14,86861.0,13.14,-0.77,-0.06,22.2,9,2.47,-2.77,0.24,7.0,1894.0,-1.61,40.0,19.1,22.2,-1.61,0.0,0.0,0.0,0.0
GFS Advanced,HUL,-1.2,-21.37,78626.0,21.76,-0.81,-0.06,26.7,15,3.35,-3.43,0.32,5.2,2860.0,-1.62,39.1,20.0,26.7,-1.62,0.0,0.0,0.0,0.0
GFS Advanced,Axis Bank,-1.43,-24.97,75030.0,26.35,-0.84,-0.05,37.5,16,2.28,-4.25,0.29,6.2,2997.0,-1.8,40.9,20.0,37.5,-1.8,0.0,0.0,0.0,0.0
GFS Basic,UPL,-1.8,-30.45,69546.0,36.55,-0.85,-0.05,31.8,22,3.88,-4.21,0.41,6.3,4183.0,-1.64,39.9,20.0,31.8,-1.64,0.0,0.0,0.0,0.0
GFS Basic,Britannia,-1.84,-30.91,69086.0,31.78,-0.88,-0.06,37.5,32,3.28,-3.83,0.48,8.9,5692.0,-1.16,40.7,20.0,38.7,-0.93,0.0,-8.48,0.0,0.0
GFS Basic,HDFC Bank,-1.89,-31.7,68301.0,35.39,-0.9,-0.05,31.7,41,2.89,-2.71,0.5,7.7,8241.0,-0.93,41.5,20.0,32.5,-0.73,0.0,0.0,0.0,-9.01
GFS Basic,HUL,-2.43,-38.81,61194.0,38.81,-0.9,-0.06,23.1,26,4.03,-3.68,0.29,8.3,4392.0,-1.91,40.1,20.0,23.1,-1.91,0.0,0.0,0.0,0.0
GFS Basic,Axis Bank,-2.1,-34.51,65488.0,34.51,-0.91,-0.06,39.3,28,2.85,-4.33,0.42,7.6,5260.0,-1.51,41.2,20.0,37.0,-1.68,0.0,0.0,100.0,3.23
GFS Basic,Eicher Motors,-2.58,-40.63,59371.0,40.63,-0.92,-0.06,38.9,36,3.23,-4.44,0.41,7.9,5766.0,-1.45,41.4,20.0,38.2,-1.54,0.0,0.0,50.0,0.05
GFS Basic,Nestle,-2.06,-27.01,72993.0,34.4,-0.97,-0.06,33.3,30,3.4,-3.26,0.51,7.3,5828.0,-1.04,41.3,15.1,34.5,-1.02,0.0,-1.48,0.0,0.0
GFS Advanced,Adani Ent.,-1.77,-30.01,69993.0,32.14,-0.99,-0.06,23.5,17,4.5,-4.16,0.33,6.6,3348.0,-2.12,41.0,20.0,23.5,-2.12,0.0,0.0,0.0,0.0
GFS Basic,Tata Steel,-2.63,-41.26,58745.0,41.26,-0.99,-0.06,25.0,20,5.9,-5.45,0.3,7.5,3226.0,-2.61,41.0,20.0,26.3,-2.22,0.0,0.0,0.0,-10.02
GFS Advanced,Grasim,-1.05,-18.98,81024.0,21.77,-0.99,-0.05,20.0,10,3.08,-3.47,0.2,4.0,1946.0,-2.16,41.6,20.0,20.0,-2.16,0.0,0.0,0.0,0.0
GFS Basic,Grasim,-1.69,-28.79,71206.0,35.77,-1.02,-0.05,26.3,19,4.03,-3.89,0.35,6.9,3597.0,-1.8,41.3,20.0,26.3,-1.8,0.0,0.0,0.0,0.0
GFS Advanced,Nestle,-1.49,-20.33,79669.0,23.74,-1.08,-0.06,23.1,13,3.57,-3.38,0.31,4.3,2653.0,-1.78,40.6,15.1,23.1,-1.78,0.0,0.0,0.0,0.0
GFS Basic,Sun Pharma,-2.8,-43.31,56689.0,45.41,-1.08,-0.06,36.8,38,2.54,-3.87,0.4,9.4,6950.0,-1.51,40.3,20.0,36.8,-1.51,0.0,0.0,0.0,0.0
GFS Advanced,UPL,-2.02,-33.4,66598.0,33.4,-1.15,-0.06,23.5,17,3.31,-4.19,0.22,6.5,3113.0,-2.43,39.7,20.0,23.5,-2.43,0.0,0.0,0.0,0.0
GFS Advanced,HDFC Bank,-1.94,-32.42,67576.0,35.09,-1.2,-0.06,21.7,23,2.73,-2.98,0.25,6.3,4438.0,-1.74,41.7,20.0,22.7,-1.41,0.0,0.0,0.0,-9.01
GFS Basic,Bajaj Finserv,-4.46,-59.77,40230.0,59.77,-1.4,-0.07,28.2,39,4.1,-4.87,0.29,8.7,5469.0,-2.34,40.8,20.0,28.9,-2.27,0.0,0.0,0.0,-4.77
GFS Advanced,Cipla,-2.33,-37.57,62429.0,37.57,-1.48,-0.06,15.0,20,2.67,-3.33,0.14,5.8,3687.0,-2.43,42.6,20.0,15.0,-2.43,0.0,0.0,0.0,0.0
GFS Basic,Cipla,-2.87,-44.14,55856.0,44.14,-1.49,-0.07,23.3,30,2.74,-3.44,0.22,7.0,5156.0,-2.0,41.7,20.0,20.7,-2.25,0.0,0.0,100.0,5.36
GFS Advanced,Bajaj Finserv,-3.12,-46.86,53137.0,46.86,-1.52,-0.07,15.0,20,3.4,-4.4,0.1,5.8,3140.0,-3.23,40.4,20.0,15.0,-3.23,0.0,0.0,0.0,0.0
