strategy,instrument,cagr,total_return,final_value,max_dd,sharpe,calmar,win_rate,total_trades,avg_win,avg_loss,profit_factor,avg_duration,total_costs,expectancy,avg_rsi_entry,years,bull_wr,bull_pnl,bear_wr,bear_pnl,sideways_wr,sideways_pnl
GFS Basic,Coal India,0.96,13.35,113348.0,6.39,0.71,0.15,85.7,7,3.44,-6.73,3.09,13.1,1616.0,1.98,41.3,13.1,85.7,1.98,0.0,0.0,0.0,0.0
GFS Advanced,Coal India,0.36,4.84,104844.0,2.86,0.54,0.13,50.0,4,4.84,-2.2,2.15,5.0,914.0,1.32,43.1,13.1,50.0,1.32,0.0,0.0,0.0,0.0
GFS Basic,Reliance,1.03,22.82,122817.0,9.4,0.53,0.11,48.1,27,5.04,-2.93,1.56,8.7,6433.0,0.91,40.6,20.0,48.1,0.91,0.0,0.0,0.0,0.0
GFS Advanced,Adani Ports,1.05,18.23,118231.0,8.16,0.51,0.13,44.4,9,8.68,-2.98,2.19,9.3,2171.0,2.2,40.5,16.1,50.0,3.06,0.0,0.0,0.0,-4.71
GFS Advanced,Hero MotoCorp,0.53,11.16,111157.0,7.21,0.48,0.07,57.1,14,3.28,-2.31,1.82,9.1,3192.0,0.89,40.7,20.0,57.1,0.89,0.0,0.0,0.0,0.0
GFS Advanced,Kotak Bank,0.68,14.39,114388.0,13.57,0.42,0.05,44.4,18,5.82,-3.01,1.44,7.2,4494.0,0.91,40.5,20.0,44.4,0.91,0.0,0.0,0.0,0.0
GFS Basic,SBI,0.8,17.13,117127.0,11.84,0.41,0.07,56.7,30,3.84,-3.55,1.34,10.2,7634.0,0.64,40.9,20.0,55.2,0.44,0.0,0.0,100.0,6.46
GFS Advanced,HCL Tech,0.61,12.86,112863.0,14.0,0.4,0.04,50.0,16,5.46,-3.58,1.46,5.4,3680.0,0.94,40.3,20.0,50.0,0.94,0.0,0.0,0.0,0.0
GFS Basic,JSW Steel,0.87,18.94,118944.0,28.07,0.38,0.03,51.7,29,5.23,-4.05,1.31,11.0,7323.0,0.75,40.6,20.0,51.7,0.75,0.0,0.0,0.0,0.0
GFS Advanced,HDFC Life,0.37,2.26,102260.0,3.85,0.37,0.1,33.3,3,6.74,-2.06,1.55,4.7,701.0,0.88,42.9,6.1,33.3,0.88,0.0,0.0,0.0,0.0
GFS Basic,HCL Tech,0.64,13.54,113537.0,15.48,0.34,0.04,45.5,33,4.75,-3.02,1.24,7.1,7969.0,0.51,40.4,20.0,45.5,0.51,0.0,0.0,0.0,0.0
GFS Advanced,UltraCemco,0.49,10.24,110239.0,10.05,0.32,0.05,46.2,13,6.16,-3.49,1.43,9.0,2975.0,0.97,40.1,20.0,46.2,0.97,0.0,0.0,0.0,0.0
GFS Basic,Hero MotoCorp,0.5,10.54,110540.0,12.05,0.32,0.04,50.0,28,3.98,-3.08,1.25,7.4,6437.0,0.45,40.6,20.0,52.0,0.63,33.3,-1.0,0.0,0.0
GFS Basic,Adani Ports,0.61,10.23,110231.0,20.3,0.29,0.03,50.0,16,5.87,-4.21,1.31,9.9,3639.0,0.83,40.1,16.1,53.3,1.2,0.0,0.0,0.0,-4.71
GFS Basic,Kotak Bank,0.59,12.4,112405.0,21.7,0.28,0.03,42.9,35,6.09,-3.66,1.16,7.5,8542.0,0.52,40.1,20.0,42.4,0.51,0.0,0.0,50.0,0.68
GFS Advanced,Divi's Lab,0.41,8.61,108613.0,14.26,0.28,0.03,43.8,16,5.25,-2.88,1.34,8.2,3696.0,0.67,40.5,20.0,43.8,0.67,0.0,0.0,0.0,0.0
GFS Advanced,Bajaj Auto,0.27,5.51,105513.0,11.62,0.23,0.02,53.3,15,3.46,-3.0,1.27,10.7,3384.0,0.44,41.6,20.0,57.1,0.66,0.0,0.0,0.0,-2.66
GFS Basic,Divi's Lab,0.41,8.5,108504.0,23.42,0.21,0.02,48.5,33,4.9,-3.87,1.12,8.5,8000.0,0.39,40.8,20.0,50.0,0.76,0.0,-11.72,0.0,0.0
GFS Basic,M&M,0.28,5.79,105790.0,22.07,0.19,0.01,52.9,34,3.67,-3.56,1.1,7.6,7647.0,0.27,40.9,20.0,54.5,0.33,0.0,0.0,0.0,-1.82
GFS Advanced,SBI Life,0.13,0.79,100790.0,3.12,0.18,0.04,66.7,6,1.51,-2.54,1.16,7.7,1347.0,0.16,40.8,6.2,80.0,0.85,0.0,0.0,0.0,-3.29
GFS Advanced,Reliance,0.2,4.06,104059.0,10.96,0.17,0.02,40.0,15,5.5,-3.02,1.16,8.1,3283.0,0.39,40.7,20.0,40.0,0.39,0.0,0.0,0.0,0.0
GFS Basic,IndusInd Bank,0.13,2.61,102606.0,14.22,0.11,0.01,59.3,27,2.81,-3.66,1.07,8.4,5795.0,0.17,41.3,20.0,60.0,-0.02,0.0,0.0,50.0,2.62
GFS Basic,Asian Paints,0.05,1.09,101093.0,17.27,0.09,0.0,44.7,38,4.25,-3.21,1.02,8.6,9332.0,0.12,40.9,20.0,44.7,0.12,0.0,0.0,0.0,0.0
GFS Basic,Bajaj Auto,0.05,0.94,100942.0,15.98,0.08,0.0,54.1,37,3.43,-3.77,1.02,11.1,7878.0,0.12,41.3,20.0,51.4,0.01,100.0,1.17,100.0,2.92
GFS Advanced,L&T,0.03,0.5,100502.0,12.55,0.06,0.0,47.4,19,3.36,-2.87,1.02,7.5,4458.0,0.08,41.2,20.0,47.4,0.08,0.0,0.0,0.0,0.0
GFS Advanced,Bajaj Finance,-0.04,-0.87,99131.0,22.15,0.04,-0.0,47.4,19,4.34,-3.78,0.98,6.6,4732.0,0.07,41.5,20.0,50.0,0.23,0.0,0.0,0.0,-2.95
GFS Advanced,JSW Steel,-0.1,-2.0,98001.0,16.44,0.01,-0.01,42.1,19,4.91,-3.58,0.95,9.9,4168.0,-0.01,40.8,20.0,42.1,-0.01,0.0,0.0,0.0,0.0
GFS Advanced,M&M,-0.05,-1.01,98990.0,14.52,0.0,-0.0,47.1,17,3.58,-3.14,0.96,6.6,3774.0,0.02,40.8,20.0,47.1,0.02,0.0,0.0,0.0,0.0
GFS Advanced,Tata Steel,-0.04,-0.72,99276.0,11.66,0.0,-0.0,40.0,10,5.11,-3.37,0.96,6.9,2184.0,0.02,40.3,20.0,40.0,0.02,0.0,0.0,0.0,0.0
GFS Advanced,Hindalco,-0.07,-1.47,98533.0,10.97,0.0,-0.01,38.5,13,6.95,-4.25,0.96,7.8,3059.0,0.06,41.4,20.0,38.5,0.06,0.0,0.0,0.0,0.0
GFS Basic,HDFC Life,-0.06,-0.38,99617.0,4.46,-0.03,-0.01,25.0,4,6.74,-2.29,0.94,4.2,913.0,-0.03,42.5,6.1,25.0,-0.03,0.0,0.0,0.0,0.0
GFS Advanced,Tata Consumer,-0.18,-3.57,96434.0,15.16,-0.07,-0.01,46.7,15,4.4,-4.1,0.89,8.4,3313.0,-0.14,41.2,20.0,46.7,-0.14,0.0,0.0,0.0,0.0
GFS Basic,NTPC,-0.22,-4.08,95919.0,18.63,-0.1,-0.01,44.4,18,3.84,-3.37,0.88,10.7,4235.0,-0.17,39.9,19.1,44.4,-0.16,0.0,0.0,0.0,0.0
GFS Advanced,Asian Paints,-0.29,-5.63,94367.0,17.82,-0.14,-0.02,40.0,20,3.47,-2.73,0.82,7.3,4542.0,-0.25,40.5,20.0,40.0,-0.25,0.0,0.0,0.0,0.0
GFS Advanced,ITC,-0.33,-6.36,93639.0,19.3,-0.17,-0.02,42.1,19,3.45,-3.02,0.78,9.2,3932.0,-0.3,41.4,20.0,42.1,-0.3,0.0,0.0,0.0,0.0
GFS Advanced,ICICI Bank,-0.29,-5.68,94323.0,13.67,-0.18,-0.02,33.3,15,4.86,-2.92,0.8,5.5,3305.0,-0.33,40.5,20.0,33.3,-0.33,0.0,0.0,0.0,0.0
GFS Basic,UltraCemco,-0.51,-9.74,90261.0,15.25,-0.18,-0.03,37.5,24,4.95,-3.56,0.79,10.3,4877.0,-0.37,39.3,20.0,37.5,-0.37,0.0,0.0,0.0,0.0
GFS Basic,Titan,-0.45,-8.67,91333.0,20.56,-0.18,-0.02,46.4,28,3.9,-3.71,0.87,7.8,6302.0,-0.18,40.4,20.0,46.4,-0.18,0.0,0.0,0.0,0.0
GFS Advanced,ONGC,-0.5,-9.46,90544.0,19.68,-0.2,-0.03,46.2,13,4.19,-4.76,0.69,12.8,2707.0,-0.63,40.3,20.0,46.2,-0.63,0.0,0.0,0.0,0.0
