rank,bid_mode,bid_threshold,max_bid,gate,parts,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,buys,new_buys,bid_buys,sells,total_growth,final_ticket,open_positions,avg_sell_pnl_pct,sweep
rsi,bid_first,0.04,3,0.08,50,439639.3,46.55,25.9,-30.05,277,213,64,178,143002.79,8860.06,35,9.31,A_gate_bidmode
dma,off,0.04,3,0.08,50,396836.28,32.28,18.37,-28.29,206,206,0,170,100143.99,8002.88,36,9.21,A_gate_bidmode
dma,compete,0.04,3,0.08,50,433671.2,44.56,24.87,-24.42,283,217,66,182,145181.31,8903.63,35,9.27,A_gate_bidmode
dma,new_first,0.04,3,0.08,50,434276.14,44.76,24.98,-28.23,271,213,58,178,135538.57,8710.77,35,9.23,A_gate_bidmode
dma,bid_first,0.04,3,0.08,50,436076.6,45.36,25.29,-28.5,281,216,65,181,146079.07,8921.58,35,9.35,A_gate_bidmode
rsi,compete,0.025,2,0.0638,50,427541.58,42.51,23.8,-24.84,325,234,91,203,142734.56,8854.69,31,7.76,B_bid_params
dma,compete,0.025,2,0.0638,50,419386.26,39.8,22.37,-29.32,324,234,90,202,139644.99,8792.9,32,7.65,B_bid_params
rsi,compete,0.025,3,0.0638,50,424781.18,41.59,23.32,-18.69,320,231,89,203,140690.06,8813.8,28,7.78,B_bid_params
dma,compete,0.025,3,0.0638,50,427283.91,42.43,23.76,-30.63,318,235,83,201,138271.66,8765.43,34,7.73,B_bid_params
rsi,compete,0.025,4,0.0638,50,421323.75,40.44,22.72,-20.37,310,227,83,198,134481.22,8689.62,29,7.7,B_bid_params
dma,compete,0.025,4,0.0638,50,419275.14,39.76,22.36,-20.26,300,224,76,194,131525.22,8630.5,30,7.76,B_bid_params
rsi,compete,0.03,2,0.0638,50,440041.92,46.68,25.97,-26.13,327,245,82,212,144455.97,8889.12,33,7.82,B_bid_params
dma,compete,0.03,2,0.0638,50,430451.55,43.48,24.31,-32.92,326,249,77,214,141040.02,8820.8,35,7.69,B_bid_params
rsi,compete,0.03,3,0.0638,50,437530.03,45.84,25.54,-26.24,322,241,81,207,141398.71,8827.97,34,7.81,B_bid_params
dma,compete,0.03,3,0.0638,50,438019.23,46.01,25.62,-26.0,319,242,77,207,141123.99,8822.48,35,7.83,B_bid_params
rsi,compete,0.03,4,0.0638,50,444592.59,48.2,26.76,-25.99,318,239,79,205,147851.75,8957.03,34,8.05,B_bid_params
dma,compete,0.03,4,0.0638,50,436913.4,45.64,25.43,-26.12,314,236,78,205,141482.38,8829.65,31,7.81,B_bid_params
rsi,compete,0.04,2,0.0638,50,421019.72,40.34,22.66,-24.63,315,249,66,215,135591.27,8711.83,34,7.74,B_bid_params
dma,compete,0.04,2,0.0638,50,426557.28,42.19,23.63,-26.73,316,253,63,217,139041.66,8780.83,36,7.82,B_bid_params
rsi,compete,0.04,3,0.0638,50,427320.99,42.44,23.77,-26.84,319,250,69,216,141335.25,8826.7,34,7.82,B_bid_params
dma,compete,0.04,3,0.0638,50,427563.45,42.52,23.81,-28.57,320,250,70,217,140603.22,8812.06,33,7.79,B_bid_params
rsi,compete,0.04,4,0.0638,50,426655.74,42.22,23.65,-28.65,314,248,66,213,137404.95,8748.1,35,7.77,B_bid_params
dma,compete,0.04,4,0.0638,50,430440.9,43.48,24.31,-28.62,316,247,69,211,139631.12,8792.62,36,7.78,B_bid_params
rsi,compete,0.05,2,0.0638,50,420262.92,40.09,22.53,-28.8,306,250,56,215,133511.38,8670.23,35,7.8,B_bid_params
dma,compete,0.05,2,0.0638,50,425634.33,41.88,23.47,-26.1,295,245,50,210,130032.82,8600.66,35,7.95,B_bid_params
rsi,compete,0.05,3,0.0638,50,421282.26,40.43,22.71,-28.74,307,249,58,214,133169.59,8663.39,35,7.8,B_bid_params
dma,compete,0.05,3,0.0638,50,423652.71,41.22,23.12,-28.19,298,247,51,212,128845.67,8576.91,35,7.85,B_bid_params
rsi,compete,0.05,4,0.0638,50,428514.69,42.84,23.97,-30.73,314,254,60,219,138836.79,8776.74,35,7.82,B_bid_params
dma,compete,0.05,4,0.0638,50,422554.75,40.85,22.93,-26.56,302,247,55,212,133504.41,8670.09,35,7.93,B_bid_params
rsi,off,0.04,3,0.0638,30,460461.91,53.49,29.46,-40.98,226,226,0,195,171995.26,15733.18,31,7.64,C_parts
rsi,compete,0.04,3,0.0638,30,425729.13,41.91,23.49,-20.99,200,168,32,146,141755.51,14725.18,22,7.45,C_parts
dma,off,0.04,3,0.0638,30,463167.71,54.39,29.92,-40.46,226,226,0,194,171035.58,15701.19,32,7.64,C_parts
dma,compete,0.04,3,0.0638,30,442441.7,47.48,26.39,-23.39,210,185,25,160,151678.68,15055.96,25,7.42,C_parts
rsi,off,0.04,3,0.0638,40,419656.73,39.89,22.42,-35.39,233,233,0,198,126206.86,10655.17,35,7.73,C_parts
rsi,compete,0.04,3,0.0638,40,445305.75,48.44,26.88,-25.19,275,228,47,200,153837.96,11345.95,28,7.66,C_parts
dma,off,0.04,3,0.0638,40,421508.08,40.5,22.75,-35.45,235,235,0,199,127881.39,10697.03,36,7.79,C_parts
dma,compete,0.04,3,0.0638,40,453071.43,51.02,28.21,-27.69,281,236,45,207,161916.46,11547.91,29,7.82,C_parts
rsi,off,0.04,3,0.0638,50,392276.18,30.76,17.54,-28.39,233,233,0,198,97359.0,7947.18,35,7.73,C_parts
rsi,compete,0.04,3,0.0638,50,427320.99,42.44,23.77,-26.84,319,250,69,216,141335.25,8826.7,34,7.82,C_parts
dma,off,0.04,3,0.0638,50,393553.75,31.18,17.77,-28.45,235,235,0,199,98662.58,7973.25,36,7.79,C_parts
dma,compete,0.04,3,0.0638,50,427563.45,42.52,23.81,-28.57,320,250,70,217,140603.22,8812.06,33,7.79,C_parts
rsi,off,0.04,3,0.0638,60,374693.88,24.9,14.34,-23.72,233,233,0,198,78953.66,6315.89,35,7.73,C_parts
rsi,compete,0.04,3,0.0638,60,408596.42,36.2,20.47,-23.81,324,248,76,212,117444.37,6957.41,36,7.84,C_parts
dma,off,0.04,3,0.0638,60,375883.22,25.29,14.56,-23.74,235,235,0,199,80037.93,6333.97,36,7.79,C_parts
dma,compete,0.04,3,0.0638,60,403163.66,34.39,19.5,-25.63,320,251,69,215,112377.25,6872.95,36,7.7,C_parts
