rank,bid_mode,bid_threshold,max_bid,gate,parts,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,buys,new_buys,bid_buys,sells,total_growth,final_ticket,open_positions,avg_sell_pnl_pct,sweep
rsi,bid_first,0.04,3,0.08,50,473738.03,57.91,29.89,-5.98,225,144,81,125,187280.6,9745.61,19,11.71,A_gate_bidmode
dma,off,0.04,3,0.08,50,354580.35,18.19,10.04,-3.12,130,130,0,111,61830.19,7236.6,19,9.01,A_gate_bidmode
dma,compete,0.04,3,0.08,50,473587.7,57.86,29.87,-4.81,225,146,79,127,188960.85,9779.22,19,11.79,A_gate_bidmode
dma,new_first,0.04,3,0.08,50,469273.16,56.42,29.19,-5.21,223,146,77,127,187963.46,9759.27,19,11.73,A_gate_bidmode
dma,bid_first,0.04,3,0.08,50,468118.85,56.04,29.01,-5.27,224,147,77,128,184376.79,9687.54,19,11.65,A_gate_bidmode
rsi,compete,0.025,2,0.0638,50,403877.41,34.63,18.56,-6.45,284,170,114,151,120244.86,8404.9,19,7.6,B_bid_params
dma,compete,0.025,2,0.0638,50,398034.67,32.68,17.57,-6.41,264,162,102,143,113184.28,8263.69,19,7.88,B_bid_params
rsi,compete,0.025,3,0.0638,50,519505.36,73.17,36.94,-9.57,290,168,122,149,243486.63,10869.73,19,9.76,B_bid_params
dma,compete,0.025,3,0.0638,50,515685.57,71.9,36.36,-6.33,277,164,113,145,236813.65,10736.27,19,10.13,B_bid_params
rsi,compete,0.025,4,0.0638,50,524948.04,74.98,37.76,-6.55,290,169,121,150,248608.78,10972.18,19,9.79,B_bid_params
dma,compete,0.025,4,0.0638,50,528751.79,76.25,38.33,-7.26,292,169,123,150,257694.72,11153.89,19,9.98,B_bid_params
rsi,compete,0.03,2,0.0638,50,468692.77,56.23,29.1,-6.09,269,169,100,150,184206.98,9684.14,19,9.71,B_bid_params
dma,compete,0.03,2,0.0638,50,397338.27,32.45,17.45,-6.26,257,164,93,145,110857.38,8217.15,19,7.86,B_bid_params
rsi,compete,0.03,3,0.0638,50,479559.83,59.85,30.81,-6.32,281,168,113,149,198623.94,9972.48,19,9.86,B_bid_params
dma,compete,0.03,3,0.0638,50,474794.77,58.26,30.06,-6.33,273,167,106,148,196182.83,9923.66,19,10.03,B_bid_params
rsi,compete,0.03,4,0.0638,50,513395.23,71.13,36.01,-6.35,280,166,114,147,233290.04,10665.8,19,9.83,B_bid_params
dma,compete,0.03,4,0.0638,50,487108.29,62.37,31.98,-6.66,278,169,109,150,210319.73,10206.39,19,10.06,B_bid_params
rsi,compete,0.04,2,0.0638,50,457787.73,52.6,27.37,-5.28,239,160,79,141,173249.95,9465.0,19,10.16,B_bid_params
dma,compete,0.04,2,0.0638,50,460882.4,53.63,27.87,-6.15,249,169,80,150,176457.26,9529.15,19,9.76,B_bid_params
rsi,compete,0.04,3,0.0638,50,467718.11,55.91,28.95,-5.17,259,171,88,152,183341.81,9666.84,19,9.68,B_bid_params
dma,compete,0.04,3,0.0638,50,468206.14,56.07,29.02,-4.86,248,166,82,147,182395.73,9647.91,19,10.09,B_bid_params
rsi,compete,0.04,4,0.0638,50,469335.46,56.45,29.2,-5.17,262,172,90,153,185109.56,9702.19,19,9.67,B_bid_params
dma,compete,0.04,4,0.0638,50,471465.98,57.16,29.54,-5.23,252,166,86,147,188782.31,9775.65,19,10.22,B_bid_params
rsi,compete,0.05,2,0.0638,50,450942.39,50.31,26.28,-4.37,221,162,59,143,162666.48,9253.33,19,11.0,B_bid_params
dma,compete,0.05,2,0.0638,50,453203.43,51.07,26.64,-6.53,224,164,60,145,165983.4,9319.67,19,9.96,B_bid_params
rsi,compete,0.05,3,0.0638,50,461963.7,53.99,28.04,-4.69,238,168,70,149,175823.6,9516.47,19,10.79,B_bid_params
dma,compete,0.05,3,0.0638,50,462508.73,54.17,28.12,-4.43,234,170,64,151,175486.92,9509.74,19,9.8,B_bid_params
rsi,compete,0.05,4,0.0638,50,462494.71,54.16,28.12,-4.77,239,168,71,149,177489.4,9549.79,19,10.85,B_bid_params
dma,compete,0.05,4,0.0638,50,462508.73,54.17,28.12,-4.43,234,170,64,151,175486.92,9509.74,19,9.8,B_bid_params
rsi,off,0.04,3,0.0638,30,395588.95,31.86,17.16,-5.12,152,152,0,133,110774.5,13692.48,19,7.57,C_parts
rsi,compete,0.04,3,0.0638,30,619550.63,106.52,51.46,-7.38,245,171,74,152,351714.93,21723.83,19,9.73,C_parts
dma,off,0.04,3,0.0638,30,397186.99,32.4,17.43,-5.06,150,150,0,131,110450.35,13681.68,19,7.67,C_parts
dma,compete,0.04,3,0.0638,30,615714.67,105.24,50.93,-10.92,238,166,72,148,349748.4,21658.28,18,9.97,C_parts
rsi,off,0.04,3,0.0638,40,369056.27,23.02,12.59,-3.86,152,152,0,133,79639.65,9490.99,19,7.57,C_parts
rsi,compete,0.04,3,0.0638,40,519109.45,73.04,36.88,-6.43,254,171,83,152,241928.08,13548.2,19,9.72,C_parts
dma,off,0.04,3,0.0638,40,370298.1,23.43,12.81,-3.81,150,150,0,131,79518.21,9487.96,19,7.67,C_parts
dma,compete,0.04,3,0.0638,40,519452.42,73.15,36.93,-6.02,244,166,78,147,240082.74,13502.07,19,10.11,C_parts
rsi,off,0.04,3,0.0638,50,353981.59,17.99,9.94,-3.1,152,152,0,133,62028.07,7240.56,19,7.57,C_parts
rsi,compete,0.04,3,0.0638,50,467718.11,55.91,28.95,-5.17,259,171,88,152,183341.81,9666.84,19,9.68,C_parts
dma,off,0.04,3,0.0638,50,354773.32,18.26,10.08,-3.07,150,150,0,131,61824.04,7236.48,19,7.67,C_parts
dma,compete,0.04,3,0.0638,50,468206.14,56.07,29.02,-4.86,248,166,82,147,182395.73,9647.91,19,10.09,C_parts
rsi,off,0.04,3,0.0638,60,344011.87,14.67,8.15,-2.6,152,152,0,133,50554.76,5842.58,19,7.57,C_parts
rsi,compete,0.04,3,0.0638,60,435999.66,45.33,23.87,-4.31,257,170,87,151,147786.96,7463.12,19,9.77,C_parts
dma,off,0.04,3,0.0638,60,344701.22,14.9,8.28,-2.56,150,150,0,131,50409.83,5840.16,19,7.67,C_parts
dma,compete,0.04,3,0.0638,60,435534.65,45.18,23.79,-4.06,248,166,82,147,146555.13,7442.59,19,10.1,C_parts
