strategy,instrument,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,pnl,pnl_pct,cost_stt,cost_txn,cost_dp,cost_stamp,cost_gst,reason,regime,duration
Triple MA Momentum,Nifty 50,2009-12-23,2010-01-22,5147.17,4989.7,18,-2834.45,218.28,-3052.73,-3.29,182.46,5.42,15.34,13.9,0.9755,TrailingStop,bull,30
Triple MA Momentum,Nifty 50,2012-03-13,2012-03-19,5432.21,5254.42,17,-3022.49,217.41,-3239.9,-3.51,181.67,5.4,15.34,13.85,0.9712,Signal,bull,6
Triple MA Momentum,Nifty 50,2012-09-10,2012-10-05,5366.13,5094.0,16,-4354.08,201.61,-4555.69,-5.31,167.36,4.97,15.34,12.88,0.8947,StopLoss,bull,25
Triple MA Momentum,Nifty 50,2012-11-29,2013-02-06,5827.91,5956.22,14,1796.31,198.5,1597.81,1.96,164.98,4.9,15.34,12.24,0.882,Signal,bull,69
Triple MA Momentum,Nifty 50,2013-11-18,2013-11-21,6192.09,5996.05,14,-2744.62,205.13,-2949.75,-3.4,170.63,5.07,15.34,13.0,0.9122,Signal,bull,3
Triple MA Momentum,Nifty 50,2019-05-21,2019-06-21,11714.95,11718.24,7,22.98,197.59,-174.61,-0.21,164.03,4.87,15.34,12.3,0.8769,Signal,bull,31
Triple MA Momentum,Nifty 50,2020-10-06,2021-01-28,11668.23,13861.4,7,15352.2,212.74,15139.46,18.54,178.71,5.31,15.34,12.25,0.9554,TrailingStop,bull,114
Triple MA Momentum,Nifty 50,2021-02-02,2021-02-24,14655.17,14498.59,6,-939.49,209.76,-1149.25,-1.31,174.92,5.2,15.34,13.19,0.9351,TrailingStop,bull,22
Triple MA Momentum,Nifty 50,2022-04-21,2022-04-22,17401.3,17163.36,5,-1189.66,207.44,-1397.1,-1.61,172.82,5.13,15.34,13.05,0.9239,Signal,sideways,1
Triple MA Momentum,Nifty 50,2023-10-12,2023-10-20,19803.9,19532.88,4,-1084.07,190.24,-1274.31,-1.61,157.35,4.67,15.34,11.88,0.8412,Signal,bull,8
Triple MA Momentum,Nifty 50,2024-03-28,2024-04-19,22338.06,22135.93,4,-808.55,213.05,-1021.6,-1.14,177.9,5.28,15.34,13.4,0.951,Signal,bull,22
Triple MA Momentum,Nifty 50,2024-04-22,2024-05-09,22347.57,21946.52,4,-1604.19,212.31,-1816.5,-2.03,177.18,5.26,15.34,13.41,0.9472,Signal,bull,17
Triple MA Momentum,Nifty 50,2024-05-21,2024-06-04,22540.32,21397.24,4,-4572.3,210.95,-4783.25,-5.31,175.75,5.22,15.34,13.52,0.9396,StopLoss,bull,14
Triple MA Momentum,Nifty 50,2024-08-19,2024-10-07,24584.94,24688.36,3,310.26,179.55,130.71,0.18,147.82,4.39,15.34,11.06,0.7902,TrailingStop,bull,49
Triple MA Momentum,Nifty 50,2025-10-07,2025-12-17,25120.85,25805.64,3,2054.36,184.93,1869.43,2.48,152.78,4.54,15.34,11.3,0.8168,Signal,bull,71
