strategy,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,net_pnl,pnl_pct,reason,regime,duration,rsi_entry_d,rsi_exit_d,rsi_weekly,rsi_monthly,instrument
GFS Basic,2006-05-22,2006-06-08,91.5,82.14,1038,-9713.43,216.32,-9929.75,-10.45,Price Stop (candle low),bull,17,40.0,28.0,74.3,88.7,RELIANCE
GFS Basic,2006-07-20,2006-07-21,99.12,96.25,863,-2476.5,202.86,-2679.36,-3.13,Price Stop (candle low),bull,1,38.9,33.1,58.8,91.3,RELIANCE
GFS Basic,2006-11-24,2006-11-27,125.71,124.64,660,-706.69,198.97,-905.66,-1.09,Price Stop (candle low),bull,3,36.2,37.1,86.7,85.5,RELIANCE
GFS Basic,2006-12-11,2006-12-12,123.48,119.91,665,-2371.04,195.35,-2566.39,-3.13,Price Stop (candle low),bull,1,39.2,30.7,82.7,85.1,RELIANCE
GFS Basic,2007-02-12,2007-02-28,135.33,134.55,589,-457.62,191.98,-649.61,-0.81,Price Stop (candle low),bull,16,41.1,38.4,85.5,86.1,RELIANCE
GFS Basic,2007-06-07,2007-06-08,167.73,166.34,471,-651.06,190.21,-841.27,-1.06,Price Stop (candle low),bull,1,44.7,27.1,78.6,88.4,RELIANCE
GFS Basic,2007-07-09,2007-07-16,171.93,178.36,455,2924.97,192.2,2732.77,3.49,RSI Target 70,bull,7,43.8,72.7,83.6,81.7,RELIANCE
GFS Basic,2007-08-06,2007-08-16,178.88,174.58,452,-1945.7,192.99,-2138.69,-2.65,Price Stop (candle low),bull,10,44.1,31.1,68.7,87.9,RELIANCE
GFS Basic,2007-12-17,2007-12-19,278.86,271.42,282,-2097.0,187.91,-2284.91,-2.91,Price Stop (candle low),bull,2,44.9,41.9,86.2,96.1,RELIANCE
GFS Basic,2013-02-06,2013-02-08,183.43,180.71,418,-1135.06,184.54,-1319.6,-1.72,Price Stop (candle low),bull,2,44.5,24.9,59.5,60.2,RELIANCE
GFS Basic,2013-08-01,2013-08-06,180.2,178.13,418,-867.62,181.82,-1049.44,-1.39,Price Stop (candle low),bull,5,35.5,24.5,59.4,68.0,RELIANCE
GFS Basic,2013-09-26,2013-09-30,177.71,174.18,418,-1477.43,178.87,-1656.31,-2.23,Price Stop (candle low),bull,4,41.6,25.1,56.6,58.8,RELIANCE
GFS Basic,2014-05-05,2014-05-12,200.74,217.87,363,6219.81,183.7,6036.11,8.28,RSI Target 70,bull,7,40.1,72.4,77.1,60.5,RELIANCE
GFS Basic,2014-06-12,2014-06-13,234.25,231.4,335,-956.15,188.73,-1144.88,-1.46,Price Stop (candle low),bull,1,41.1,44.3,72.6,71.5,RELIANCE
GFS Basic,2017-03-29,2017-04-06,275.5,315.05,281,11114.21,198.88,10915.33,14.1,RSI Target 70,bull,8,39.4,73.1,79.7,67.1,RELIANCE
GFS Basic,2017-04-27,2017-04-28,309.01,305.57,284,-977.16,209.34,-1186.5,-1.35,Price Stop (candle low),bull,1,43.8,47.4,86.7,67.1,RELIANCE
GFS Basic,2017-05-31,2017-06-01,293.93,290.91,295,-891.03,207.09,-1098.12,-1.27,Price Stop (candle low),bull,1,44.7,43.9,72.4,67.6,RELIANCE
GFS Basic,2017-08-11,2017-08-29,341.68,338.23,250,-863.53,204.26,-1067.79,-1.25,Price Stop (candle low),bull,18,35.9,29.0,73.1,82.2,RELIANCE
GFS Basic,2017-09-27,2017-09-28,353.19,347.23,239,-1424.48,201.43,-1625.91,-1.93,Price Stop (candle low),bull,1,41.8,38.1,70.3,80.4,RELIANCE
GFS Basic,2017-11-08,2017-11-13,392.36,386.43,211,-1251.88,198.01,-1449.89,-1.75,Price Stop (candle low),bull,5,41.7,31.5,59.1,81.8,RELIANCE
GFS Basic,2017-12-11,2017-12-21,404.89,403.08,201,-365.31,195.8,-561.11,-0.69,Price Stop (candle low),bull,10,43.3,51.7,61.9,79.1,RELIANCE
GFS Basic,2018-05-17,2018-05-18,417.8,412.3,194,-1066.03,194.34,-1260.37,-1.55,Price Stop (candle low),bull,1,41.1,30.4,54.7,76.7,RELIANCE
GFS Basic,2018-06-28,2018-07-17,420.41,485.51,190,12367.75,205.65,12162.1,15.23,RSI Target 70,bull,19,40.3,71.8,69.2,71.2,RELIANCE
GFS Basic,2018-09-17,2018-09-18,545.41,540.98,167,-740.52,216.97,-957.49,-1.05,Price Stop (candle low),bull,1,38.3,30.5,79.4,81.4,RELIANCE
GFS Basic,2018-10-01,2018-10-04,547.99,498.8,165,-8117.01,207.85,-8324.86,-9.21,Price Stop (candle low),bull,3,36.6,26.3,74.5,78.9,RELIANCE
