strategy,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,net_pnl,pnl_pct,reason,regime,duration,rsi_entry_d,rsi_exit_d,rsi_weekly,rsi_monthly,instrument
GFS Basic,2006-05-22,2006-06-08,91.5,82.14,1038,-9713.43,216.32,-9929.75,-10.45,Price Stop (candle low),bull,17,40.0,28.0,74.3,88.7,RELIANCE
GFS Basic,2006-06-12,2006-06-13,89.73,85.42,953,-4105.26,201.1,-4306.35,-5.04,Price Stop (candle low),bull,1,42.2,40.6,69.1,88.7,RELIANCE
GFS Basic,2006-06-13,2006-06-28,85.51,99.58,952,13395.37,210.1,13185.28,16.2,RSI Target 70,bull,15,40.6,72.9,70.6,88.7,RELIANCE
GFS Basic,2006-07-20,2006-07-21,99.12,96.25,948,-2720.42,221.33,-2941.74,-3.13,Price Stop (candle low),bull,1,38.9,33.1,58.8,91.3,RELIANCE
GFS Basic,2006-11-24,2006-11-27,125.71,124.64,725,-776.29,217.05,-993.34,-1.09,Price Stop (candle low),bull,3,36.2,37.1,86.7,85.5,RELIANCE
GFS Basic,2006-11-27,2006-11-29,124.76,124.28,723,-345.48,215.42,-560.9,-0.62,Price Stop (candle low),bull,2,37.1,44.6,86.7,85.5,RELIANCE
GFS Basic,2006-11-29,2006-11-30,124.41,123.8,721,-437.52,214.2,-651.73,-0.73,Price Stop (candle low),bull,1,44.6,26.1,86.7,85.1,RELIANCE
GFS Basic,2006-12-01,2006-12-11,125.58,123.36,709,-1573.69,211.55,-1785.25,-2.01,Price Stop (candle low),bull,10,38.1,39.2,82.7,85.1,RELIANCE
GFS Basic,2006-12-11,2006-12-12,123.48,119.91,707,-2520.79,206.72,-2727.51,-3.12,Price Stop (candle low),bull,1,39.2,30.7,82.7,85.1,RELIANCE
GFS Basic,2006-12-13,2007-01-12,123.32,133.26,687,6824.88,210.67,6614.21,7.81,RSI Target 70,bull,30,42.2,73.6,82.5,87.0,RELIANCE
GFS Basic,2007-02-12,2007-02-28,135.33,134.55,673,-522.89,217.17,-740.06,-0.81,Price Stop (candle low),bull,16,41.1,38.4,85.5,86.1,RELIANCE
GFS Basic,2007-02-28,2007-03-02,134.68,130.94,671,-2513.41,213.55,-2726.96,-3.02,Price Stop (candle low),bull,2,38.4,34.4,58.7,86.1,RELIANCE
GFS Basic,2007-06-07,2007-06-08,167.73,166.34,523,-722.94,209.52,-932.45,-1.06,Price Stop (candle low),bull,1,44.7,27.1,78.6,88.4,RELIANCE
GFS Basic,2007-06-12,2007-07-16,170.72,178.36,509,3888.43,212.46,3675.97,4.23,RSI Target 70,bull,34,37.4,72.7,83.6,81.7,RELIANCE
GFS Basic,2007-08-06,2007-08-16,178.88,174.58,505,-2173.84,213.82,-2387.66,-2.64,Price Stop (candle low),bull,10,44.1,31.1,68.7,87.9,RELIANCE
GFS Basic,2007-08-17,2007-09-05,176.14,197.22,500,10537.8,221.96,10315.84,11.71,RSI Target 70,bull,19,38.0,78.6,66.1,87.5,RELIANCE
GFS Basic,2007-12-17,2007-12-19,278.86,271.42,351,-2610.1,230.13,-2840.23,-2.9,Price Stop (candle low),bull,2,44.9,41.9,86.2,96.1,RELIANCE
GFS Basic,2007-12-19,2008-01-08,271.69,306.64,350,12232.04,239.32,11992.72,12.61,RSI Target 70,bull,20,41.9,76.8,74.8,96.0,RELIANCE
GFS Basic,2013-02-06,2013-02-08,183.43,180.71,581,-1577.68,250.52,-1828.2,-1.72,Price Stop (candle low),bull,2,44.5,24.9,59.5,60.2,RELIANCE
GFS Basic,2013-02-18,2013-02-26,177.53,172.33,590,-3067.94,244.91,-3312.85,-3.16,Price Stop (candle low),bull,8,35.2,32.4,64.8,60.2,RELIANCE
GFS Basic,2013-02-27,2013-02-28,174.14,170.31,584,-2234.26,239.0,-2473.26,-2.43,Price Stop (candle low),bull,1,36.4,34.6,64.8,61.4,RELIANCE
GFS Basic,2013-08-01,2013-08-06,180.2,178.13,551,-1143.68,234.79,-1378.47,-1.39,Price Stop (candle low),bull,5,35.5,24.5,59.4,68.0,RELIANCE
GFS Basic,2013-09-26,2013-09-30,177.71,174.18,552,-1951.06,231.3,-2182.36,-2.22,Price Stop (candle low),bull,4,41.6,25.1,56.6,58.8,RELIANCE
GFS Basic,2014-05-05,2014-05-12,200.74,217.87,478,8190.27,237.04,7953.23,8.29,RSI Target 70,bull,7,40.1,72.4,77.1,60.5,RELIANCE
GFS Basic,2014-06-12,2014-06-13,234.25,231.4,442,-1261.55,244.11,-1505.65,-1.45,Price Stop (candle low),bull,1,41.1,44.3,72.6,71.5,RELIANCE
GFS Basic,2014-06-13,2014-06-16,231.63,227.88,441,-1653.68,240.61,-1894.29,-1.85,Price Stop (candle low),bull,3,44.3,43.6,72.6,71.5,RELIANCE
GFS Basic,2014-06-16,2014-06-19,228.11,222.89,439,-2292.51,235.48,-2528.0,-2.52,Price Stop (candle low),bull,3,43.6,44.9,72.6,71.5,RELIANCE
GFS Basic,2014-06-19,2014-06-26,223.11,216.43,439,-2933.49,229.94,-3163.43,-3.23,Price Stop (candle low),bull,7,44.9,23.3,65.3,71.5,RELIANCE
