strategy,instrument,cagr,total_return,final_value,max_dd,sharpe,calmar,win_rate,total_trades,avg_win,avg_loss,profit_factor,avg_duration,expectancy,years,gross_cagr,cagr_drag,total_costs,total_stt,total_dp,total_stamp,total_txn,total_gst,avg_cost_pct,bull_trades,bull_wr,bull_avg_pnl,bear_trades,bear_wr,bear_avg_pnl,sideways_trades,sideways_wr,sideways_avg_pnl
BB Squeeze Breakout,Bank Nifty,3.84,94.67,194668.0,19.32,0.47,0.2,46.6,73,5.73,-2.89,1.54,25.0,1.12,17.7,4.58,0.75,26345.0,22713.0,1120.0,1694.0,675.0,121.0,0.234,54,51.9,1.06,7,14.3,0.17,12,41.7,1.96
Bollinger Band Bounce,Bank Nifty,2.18,46.49,146485.0,7.44,0.44,0.29,67.5,40,3.33,-3.52,1.9,14.0,1.1,17.7,2.59,0.41,10640.0,9028.0,614.0,673.0,268.0,48.0,0.237,39,66.7,1.11,0,0.0,0.0,1,100.0,0.74
Golden Cross,Nifty 50,2.52,55.25,155252.0,18.18,0.43,0.14,37.5,8,25.0,-3.48,4.04,243.0,7.2,17.7,2.59,0.07,2001.0,1694.0,123.0,123.0,50.0,9.0,0.245,8,37.5,7.2,0,0.0,0.0,0,0.0,0.0
BB Squeeze Breakout,Nifty 50,2.04,43.08,143076.0,18.26,0.37,0.11,40.7,59,4.92,-2.12,1.52,27.0,0.74,17.7,2.63,0.59,15244.0,12910.0,905.0,964.0,383.0,69.0,0.238,42,42.9,0.88,6,16.7,-0.03,11,45.5,0.63
Bollinger Band Bounce,Nifty 50,1.21,23.77,123772.0,12.96,0.3,0.09,71.1,38,2.63,-4.02,1.57,12.0,0.7,17.7,1.6,0.38,8554.0,7177.0,583.0,536.0,213.0,38.0,0.24,36,72.2,0.79,0,0.0,0.0,2,50.0,-0.92
RSI Oversold Bounce,Nifty 50,1.12,21.78,121777.0,14.93,0.28,0.07,65.2,23,4.11,-4.66,1.57,30.0,1.06,17.7,1.37,0.25,5518.0,4651.0,353.0,347.0,138.0,25.0,0.239,23,65.2,1.06,0,0.0,0.0,0,0.0,0.0
Stochastic Reversal,Bank Nifty,0.68,12.7,112699.0,6.06,0.26,0.11,52.0,25,2.27,-1.3,1.86,4.0,0.56,17.7,0.96,0.28,5676.0,4765.0,383.0,356.0,142.0,25.0,0.239,17,47.1,0.18,5,40.0,0.18,3,100.0,3.36
MACD Trend,Bank Nifty,1.12,21.82,121816.0,19.5,0.2,0.06,38.6,83,4.17,-2.11,1.21,14.0,0.31,17.7,1.93,0.81,18396.0,15414.0,1273.0,1153.0,458.0,82.0,0.24,73,37.0,0.33,4,25.0,-2.15,6,66.7,1.66
ADX Breakout,Bank Nifty,0.5,9.16,109160.0,19.56,0.14,0.03,33.3,45,4.69,-1.73,1.19,13.0,0.41,17.7,0.96,0.46,9259.0,7713.0,690.0,577.0,229.0,41.0,0.241,43,32.6,0.4,0,0.0,0.0,2,50.0,0.59
Stochastic Reversal,Nifty 50,0.21,3.83,103830.0,5.81,0.12,0.04,41.4,29,1.87,-1.06,1.23,4.0,0.15,17.7,0.55,0.34,6445.0,5401.0,445.0,404.0,160.0,29.0,0.239,22,36.4,-0.02,2,0.0,-0.3,5,80.0,1.08
