strategy,instrument,cagr,total_return,final_value,max_dd,sharpe,calmar,win_rate,total_trades,avg_win,avg_loss,profit_factor,avg_duration,expectancy,years,gross_cagr,cagr_drag,total_costs,total_stt,total_dp,total_stamp,total_txn,total_gst,avg_cost_pct,bull_trades,bull_wr,bull_avg_pnl,bear_trades,bear_wr,bear_avg_pnl,sideways_trades,sideways_wr,sideways_avg_pnl
52-Week High Breakout,Nifty 50,0.1,1.73,101731.0,15.24,0.05,0.01,40.0,15,5.81,-3.46,1.06,54.0,0.25,17.7,0.27,0.18,3245.0,2714.0,230.0,203.0,81.0,15.0,0.24,15,40.0,0.25,0,0.0,0.0,0,0.0,0.0
Trend + RSI Pullback,Nifty 50,0.07,1.17,101171.0,9.4,0.04,0.01,42.9,14,2.41,-1.58,1.1,12.0,0.13,17.7,0.24,0.17,3081.0,2580.0,215.0,193.0,77.0,14.0,0.239,14,42.9,0.13,0,0.0,0.0,0,0.0,0.0
Golden Cross,Bank Nifty,-0.16,-2.77,97233.0,11.59,-0.03,-0.01,60.0,5,3.12,-5.67,0.71,133.0,-0.4,17.7,-0.11,0.05,918.0,757.0,77.0,57.0,22.0,4.0,0.243,5,60.0,-0.4,0,0.0,0.0,0,0.0,0.0
Triple MA Momentum,Nifty 50,-0.31,-5.35,94646.0,16.88,-0.04,-0.02,29.4,17,6.07,-2.84,0.82,33.0,-0.22,17.7,-0.11,0.2,3488.0,2904.0,261.0,218.0,86.0,16.0,0.24,16,31.2,-0.13,0,0.0,0.0,1,0.0,-1.61
ADX Breakout,Nifty 50,-0.44,-7.45,92550.0,16.59,-0.07,-0.03,26.7,45,3.52,-1.46,0.83,12.0,-0.13,17.7,0.11,0.54,9363.0,7806.0,690.0,585.0,232.0,42.0,0.24,40,27.5,-0.03,0,0.0,0.0,5,20.0,-0.92
52-Week High Breakout,Bank Nifty,-0.5,-8.45,91552.0,22.65,-0.09,-0.02,33.3,15,2.77,-2.79,0.57,47.0,-0.94,17.7,-0.33,0.17,2844.0,2352.0,230.0,177.0,70.0,13.0,0.242,15,33.3,-0.94,0,0.0,0.0,0,0.0,0.0
RSI Oversold Bounce,Bank Nifty,-0.59,-9.9,90104.0,22.92,-0.11,-0.03,53.8,26,3.74,-4.88,0.78,24.0,-0.24,17.7,-0.32,0.27,4365.0,3570.0,399.0,268.0,106.0,19.0,0.246,23,56.5,-0.2,2,50.0,1.89,1,0.0,-5.31
MACD Trend,Nifty 50,-0.85,-13.96,86037.0,28.04,-0.12,-0.03,33.3,87,2.72,-1.62,0.82,15.0,-0.17,17.7,0.15,1.0,16657.0,13791.0,1335.0,1034.0,410.0,74.0,0.242,75,34.7,-0.02,4,50.0,-1.94,8,12.5,-0.72
Triple MA Momentum,Bank Nifty,-0.61,-10.27,89726.0,12.73,-0.16,-0.05,33.3,18,3.35,-2.9,0.6,22.0,-0.82,17.7,-0.41,0.2,3192.0,2624.0,276.0,197.0,78.0,14.0,0.243,17,35.3,-0.58,0,0.0,0.0,1,0.0,-4.85
Trend + RSI Pullback,Bank Nifty,-1.02,-16.64,83356.0,17.79,-0.46,-0.06,13.3,15,2.87,-2.13,0.18,11.0,-1.47,17.7,-0.85,0.17,2574.0,2109.0,230.0,159.0,63.0,11.0,0.243,15,13.3,-1.47,0,0.0,0.0,0,0.0,0.0
