strategy,instrument,cagr,total_return,final_value,max_dd,sharpe,calmar,win_rate,total_trades,avg_win,avg_loss,profit_factor,avg_duration,total_costs,expectancy,avg_rsi_entry,years,bull_wr,bull_pnl,bear_wr,bear_pnl,sideways_wr,sideways_pnl
GFS Basic,RELIANCE,1.03,22.82,122817.0,9.4,0.53,0.11,48.1,27,5.04,-2.93,1.56,8.7,6433.0,0.91,40.6,20.0,48.1,0.91,0.0,0.0,0.0,0.0
GFS Advanced,RELIANCE,-0.36,-6.98,93023.0,10.77,-0.39,-0.03,22.2,9,5.1,-2.48,0.58,8.6,2019.0,-0.79,40.1,20.0,22.2,-0.79,0.0,0.0,0.0,0.0
