strategy,instrument,cagr,total_return,final_value,max_dd,sharpe,calmar,win_rate,total_trades,avg_win,avg_loss,profit_factor,avg_duration,total_costs,expectancy,avg_rsi_entry,years,bull_wr,bull_pnl,bear_wr,bear_pnl,sideways_wr,sideways_pnl
GFS Basic,HCL Tech,-7.6,-79.37,20630.0,79.37,-1.34,-0.1,37.3,67,3.72,-5.89,0.34,12.7,8072.0,-2.3,40.7,20.0,38.5,-2.29,0.0,0.0,0.0,-2.85
GFS Basic,HDFC Bank,-5.3,-66.26,33741.0,66.84,-1.39,-0.08,45.8,72,2.06,-4.51,0.38,12.7,10113.0,-1.5,41.1,20.0,46.5,-1.41,0.0,0.0,0.0,-7.72
GFS Basic,HUL,-5.79,-69.58,30417.0,69.58,-1.42,-0.08,32.1,56,3.15,-4.67,0.35,11.4,8641.0,-2.15,40.1,20.0,33.3,-2.05,0.0,-5.91,0.0,-4.14
GFS Basic,TCS,-6.12,-71.67,28328.0,73.06,-1.43,-0.08,40.4,57,2.95,-5.73,0.38,11.9,8276.0,-2.23,40.7,20.0,40.0,-2.36,50.0,1.41,0.0,0.0
GFS Basic,Shree Cement,-6.18,-72.01,27989.0,72.01,-1.5,-0.09,42.6,54,2.9,-6.73,0.27,11.4,5713.0,-2.63,40.9,20.0,45.1,-2.51,0.0,0.0,0.0,-4.77
GFS Basic,L&T,-6.77,-75.35,24650.0,76.49,-1.51,-0.09,40.4,57,2.62,-5.87,0.28,9.3,6597.0,-2.45,40.6,20.0,39.3,-2.5,0.0,0.0,100.0,0.66
GFS Basic,SBI Life,-5.21,-28.2,71802.0,30.08,-1.56,-0.17,41.2,17,1.76,-4.54,0.24,18.9,3138.0,-1.95,41.2,6.2,46.7,-1.2,0.0,0.0,0.0,-7.51
GFS Basic,Bajaj Finserv,-8.2,-81.87,18130.0,82.07,-1.59,-0.1,35.9,64,2.72,-5.68,0.21,11.9,6055.0,-2.66,40.4,20.0,35.5,-2.62,0.0,0.0,50.0,-3.76
GFS Basic,Britannia,-6.01,-71.01,28988.0,71.01,-1.64,-0.08,37.0,54,2.25,-5.06,0.24,13.3,6726.0,-2.36,40.7,20.0,40.0,-1.84,0.0,-8.74,0.0,-9.23
GFS Basic,Nestle,-5.76,-59.25,40748.0,63.71,-1.72,-0.09,33.3,51,3.04,-4.17,0.36,10.6,8007.0,-1.77,41.1,15.1,34.0,-1.73,0.0,-3.44,0.0,0.0
GFS Basic,Sun Pharma,-9.56,-86.55,13446.0,86.81,-1.79,-0.11,43.1,65,2.29,-7.04,0.19,12.7,5873.0,-3.02,40.5,20.0,43.8,-2.62,0.0,0.0,0.0,-28.61
GFS Basic,Cipla,-8.66,-83.61,16385.0,83.61,-1.87,-0.1,28.6,49,2.69,-6.27,0.13,15.0,4882.0,-3.71,40.8,20.0,30.4,-3.36,0.0,-3.61,0.0,-11.81
GFS Basic,Bajaj Auto,-7.98,-81.0,19003.0,81.0,-1.92,-0.1,41.0,61,2.85,-6.59,0.25,11.3,5870.0,-2.72,40.7,20.0,41.1,-2.4,50.0,-6.24,33.3,-6.5
