strategy,entry_date,exit_date,entry_price,exit_price,direction,lot_size,gross_pnl,costs,net_pnl,pnl_pct,reason,regime,duration,option_type,strike,expiry,entry_prem,exit_prem,iv_entry,premium_collected,premium_at_exit,strike_ce,strike_pe,net_premium,cost_at_exit,max_loss,strike_long,strike_short,debit_paid,exit_value
F1 Trend Futures,2019-11-28,2019-12-26,12151.15,12126.55,LONG,25,-615.01,231.65,-846.66,-0.28,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2019-12-26,2020-01-30,12126.55,12035.8,LONG,25,-2268.75,230.24,-2498.99,-0.82,Expiry Rollover,bull,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2020-01-30,2020-02-27,12035.8,11633.3,LONG,25,-10062.5,224.0,-10286.5,-3.42,Expiry Rollover,bull,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2020-02-27,2020-03-19,11633.3,8263.45,LONG,25,-84246.24,171.74,-84417.98,-29.03,Signal Flip,bull,21,,,,,,,,,,,,,,,,,
F1 Trend Futures,2020-03-19,2020-03-26,8263.45,8641.45,SHORT,25,-9450.0,177.6,-9627.6,-4.66,Expiry Rollover,bear,7,,,,,,,,,,,,,,,,,
F1 Trend Futures,2020-03-26,2020-04-30,8641.45,9859.9,SHORT,25,-30461.25,196.5,-30657.75,-14.19,Expiry Rollover,bear,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2020-04-30,2020-05-28,9859.9,9490.1,SHORT,25,9245.02,190.76,9054.26,3.67,Expiry Rollover,bear,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2020-05-28,2020-06-25,9490.1,10288.9,SHORT,25,-19970.02,203.15,-20173.17,-8.5,Expiry Rollover,bear,28,,,,,,,,,,,,,,,,,
F1 Trend Futures,2020-06-25,2020-07-30,10288.9,11102.15,SHORT,25,-20331.25,215.76,-20547.01,-7.99,Expiry Rollover,bear,35,,,,,,,,,,,,,,,,,
F1 Trend Futures,2020-07-30,2020-08-21,11102.15,11371.6,SHORT,25,-6736.23,219.94,-6956.17,-2.51,Signal Flip,bear,22,,,,,,,,,,,,,,,,,
