strategy,instrument,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,pnl,pnl_pct,cost_stt,cost_txn,cost_dp,cost_stamp,cost_gst,reason,regime,duration
52-Week High Breakout,Adani Ent.,2006-05-08,2006-05-10,7.54,7.56,12596,170.36,226.61,-56.25,-0.06,190.17,5.65,15.34,14.25,1.0166,TrailingStop,bull,2
52-Week High Breakout,Adani Ent.,2006-05-10,2006-05-22,8.4,10.78,11298,26890.61,254.17,26636.44,28.06,216.77,6.44,15.34,14.24,1.1589,TrailingStop,bull,12
52-Week High Breakout,Adani Ent.,2006-11-24,2006-12-06,12.52,12.67,9607,1471.54,284.05,1187.49,0.99,241.95,7.19,15.34,18.04,1.2935,TrailingStop,bull,12
52-Week High Breakout,Adani Ent.,2006-12-06,2006-12-13,13.7,13.97,8861,2371.18,287.51,2083.67,1.72,245.13,7.28,15.34,18.21,1.3104,TrailingStop,bull,7
52-Week High Breakout,Adani Ent.,2007-02-06,2007-02-09,15.56,14.31,7926,-9953.74,279.14,-10232.88,-8.3,236.76,7.03,15.34,18.5,1.2657,StopLoss,bull,3
52-Week High Breakout,Adani Ent.,2007-05-18,2007-05-22,15.7,14.43,7239,-9168.83,258.34,-9427.17,-8.3,218.09,6.48,15.34,17.04,1.1659,StopLoss,bull,4
52-Week High Breakout,Adani Ent.,2007-06-26,2007-08-10,16.07,20.88,6512,31328.85,280.39,31048.46,29.66,240.67,7.15,15.34,15.7,1.2866,TrailingStop,bull,45
52-Week High Breakout,Adani Ent.,2007-09-03,2007-09-05,24.02,22.08,5585,-10825.89,302.25,-11128.14,-8.29,257.51,7.65,15.34,20.12,1.3766,StopLoss,bull,2
52-Week High Breakout,Adani Ent.,2007-09-14,2007-09-18,24.62,26.65,5020,10157.31,300.52,9856.79,7.97,257.36,7.64,15.34,18.54,1.3759,TrailingStop,bull,4
52-Week High Breakout,Adani Ent.,2007-09-18,2007-09-28,28.98,32.96,4588,18288.12,329.7,17958.42,13.51,284.18,8.44,15.34,19.94,1.5192,TrailingStop,bull,10
52-Week High Breakout,Adani Ent.,2007-09-28,2007-10-01,34.93,36.07,4294,4900.22,353.73,4546.49,3.03,304.9,9.06,15.34,22.5,1.63,TrailingStop,bull,3
52-Week High Breakout,Adani Ent.,2007-10-01,2007-10-08,38.63,42.23,3995,14379.8,373.14,14006.66,9.08,323.01,9.59,15.34,23.15,1.7268,TrailingStop,bull,7
52-Week High Breakout,Adani Ent.,2007-12-13,2008-01-08,57.59,75.12,2911,51011.32,440.73,50570.59,30.16,386.31,11.47,15.34,25.15,2.0652,TrailingStop,bull,26
52-Week High Breakout,Adani Ent.,2009-06-29,2009-07-01,52.37,49.37,4118,-12342.01,481.76,-12823.77,-5.95,418.97,12.44,15.34,32.35,2.2398,TrailingStop,bull,2
52-Week High Breakout,Adani Ent.,2009-11-09,2009-11-10,54.97,55.02,3702,187.98,467.74,-279.76,-0.14,407.2,12.09,15.34,30.53,2.1769,TrailingStop,bull,1
52-Week High Breakout,Adani Ent.,2009-12-30,2010-01-06,55.42,59.27,3667,14113.54,481.56,13631.98,6.71,420.57,12.49,15.34,30.48,2.2484,TrailingStop,bull,7
52-Week High Breakout,Adani Ent.,2010-01-06,2010-01-12,64.73,59.51,3340,-17444.82,477.67,-17922.49,-8.29,414.95,12.32,15.34,32.43,2.2183,StopLoss,bull,6
52-Week High Breakout,Adani Ent.,2010-02-17,2010-03-02,66.13,60.8,3011,-16067.22,441.16,-16508.38,-8.29,382.18,11.35,15.34,29.87,2.0431,StopLoss,bull,13
52-Week High Breakout,Adani Ent.,2010-04-20,2010-05-04,66.62,68.19,2754,4331.5,427.5,3904.0,2.13,371.25,11.03,15.34,27.52,1.9847,TrailingStop,bull,14
52-Week High Breakout,Adani Ent.,2010-08-02,2010-09-20,77.75,82.13,2407,10530.42,442.12,10088.3,5.39,384.84,11.43,15.34,28.07,2.0573,TrailingStop,bull,49
52-Week High Breakout,Adani Ent.,2014-03-07,2014-04-10,42.91,60.83,4585,82165.76,537.66,81628.1,41.49,475.66,14.13,15.34,29.51,2.5429,TrailingStop,bull,34
52-Week High Breakout,Adani Ent.,2014-04-10,2014-04-15,66.52,61.15,4124,-22135.2,601.98,-22737.18,-8.29,526.51,15.64,15.34,41.15,2.8147,StopLoss,bull,5
52-Week High Breakout,Adani Ent.,2014-05-13,2014-05-16,67.74,74.46,3730,25069.68,602.8,24466.88,9.68,530.44,15.75,15.34,37.9,2.8357,TrailingStop,bull,3
52-Week High Breakout,Adani Ent.,2014-05-16,2014-05-21,74.99,74.46,3680,-1941.35,626.56,-2567.91,-0.93,550.0,16.34,15.34,41.4,2.9403,TrailingStop,bull,5
52-Week High Breakout,Adani Ent.,2015-01-23,2015-01-30,81.47,83.92,3357,8230.43,631.57,7598.86,2.78,555.2,16.49,15.34,41.02,2.9681,TrailingStop,bull,7
52-Week High Breakout,Adani Ent.,2015-01-30,2015-03-10,90.63,94.66,3097,12452.68,651.97,11800.71,4.2,573.84,17.04,15.34,42.1,3.0678,TrailingStop,bull,39
52-Week High Breakout,Adani Ent.,2015-05-13,2015-05-28,104.35,104.44,2798,255.45,664.37,-408.92,-0.14,584.17,17.35,15.34,43.79,3.123,TrailingStop,bull,15
52-Week High Breakout,Adani Ent.,2017-01-27,2017-02-13,49.45,48.11,5896,-7903.57,655.04,-8558.61,-2.94,575.23,17.08,15.34,43.74,3.0752,TrailingStop,bull,17
52-Week High Breakout,Adani Ent.,2017-03-15,2017-04-12,54.04,60.26,5244,32589.53,678.86,31910.67,11.26,599.41,17.8,15.34,42.51,3.2044,TrailingStop,bull,28
52-Week High Breakout,Adani Ent.,2017-04-18,2017-04-19,77.38,77.16,4054,-897.49,711.49,-1608.98,-0.51,626.51,18.61,15.34,47.06,3.3493,TrailingStop,bull,1
52-Week High Breakout,Adani Ent.,2017-04-19,2017-04-26,77.52,71.26,4027,-25187.69,682.88,-25870.57,-8.29,599.12,17.79,15.34,46.82,3.2029,StopLoss,bull,7
52-Week High Breakout,Adani Ent.,2017-11-06,2017-11-16,80.36,77.32,3579,-10881.73,643.14,-11524.87,-4.01,564.32,16.76,15.34,43.14,3.0168,TrailingStop,bull,10
52-Week High Breakout,Adani Ent.,2017-11-17,2017-11-30,84.06,78.19,3291,-19336.4,610.04,-19946.44,-7.21,533.95,15.86,15.34,41.5,2.8545,TrailingStop,bull,13
52-Week High Breakout,Adani Ent.,2018-01-03,2018-02-02,94.58,106.42,2725,32256.09,621.47,31634.62,12.27,547.73,16.27,15.34,38.66,2.9282,TrailingStop,bull,30
52-Week High Breakout,Adani Ent.,2018-07-26,2018-08-02,124.99,117.86,2302,-16428.82,637.68,-17066.5,-5.93,559.03,16.6,15.34,43.16,2.9886,TrailingStop,sideways,7
52-Week High Breakout,Adani Ent.,2018-08-08,2018-09-03,126.58,134.9,2145,17845.4,637.16,17208.24,6.34,560.87,16.66,15.34,40.73,2.9984,TrailingStop,bull,26
52-Week High Breakout,Adani Ent.,2018-09-06,2018-09-10,161.76,148.71,1780,-23232.93,631.07,-23864.0,-8.29,552.62,16.41,15.34,43.19,2.9543,StopLoss,bull,4
52-Week High Breakout,Adani Ent.,2019-10-18,2020-01-06,173.53,197.37,1528,36420.62,642.28,35778.34,13.49,566.74,16.83,15.34,39.77,3.0298,TrailingStop,bull,80
52-Week High Breakout,Adani Ent.,2020-01-17,2020-02-27,226.36,232.56,1322,8208.52,688.79,7519.73,2.51,606.69,18.02,15.34,44.89,3.2434,TrailingStop,bull,41
52-Week High Breakout,Adani Ent.,2020-08-25,2020-08-26,306.96,282.19,998,-24718.92,670.46,-25389.38,-8.29,587.97,17.46,15.34,45.95,3.1433,StopLoss,sideways,1
52-Week High Breakout,Adani Ent.,2020-10-05,2020-12-21,325.97,425.31,865,85926.59,730.92,85195.67,30.21,649.86,19.3,15.34,42.29,3.4741,TrailingStop,bull,77
52-Week High Breakout,Adani Ent.,2020-12-28,2020-12-31,489.91,450.37,741,-29292.08,791.66,-30083.74,-8.29,696.75,20.69,15.34,54.45,3.7248,StopLoss,bull,3
52-Week High Breakout,Adani Ent.,2021-01-07,2021-02-01,517.1,496.2,647,-13523.58,744.76,-14268.34,-4.26,655.61,19.47,15.34,50.18,3.5049,TrailingStop,bull,25
52-Week High Breakout,Adani Ent.,2021-02-04,2021-02-15,588.57,707.08,545,64592.14,795.04,63797.1,19.89,706.13,20.97,15.34,48.12,3.775,TrailingStop,bull,11
52-Week High Breakout,Adani Ent.,2021-02-15,2021-02-19,761.98,745.71,500,-8133.1,853.51,-8986.61,-2.36,753.85,22.39,15.34,57.15,4.0301,TrailingStop,bull,4
52-Week High Breakout,Adani Ent.,2021-03-22,2021-03-25,989.14,980.83,377,-3135.55,840.72,-3976.27,-1.07,742.68,22.06,15.34,55.94,3.9704,TrailingStop,bull,3
52-Week High Breakout,Adani Ent.,2021-04-05,2021-04-07,1136.06,1123.15,325,-4196.08,831.43,-5027.51,-1.36,734.24,21.81,15.34,55.38,3.9253,TrailingStop,bull,2
52-Week High Breakout,Adani Ent.,2021-06-02,2021-06-14,1543.77,1419.21,236,-29397.83,794.46,-30192.29,-8.29,699.26,20.77,15.34,54.65,3.7383,StopLoss,bull,12
52-Week High Breakout,Adani Ent.,2021-11-12,2021-11-29,1703.01,1606.34,197,-19044.98,741.11,-19786.09,-5.9,651.94,19.36,15.34,50.32,3.4853,TrailingStop,bull,17
52-Week High Breakout,Adani Ent.,2022-03-30,2022-05-10,1992.69,2173.89,159,28809.96,749.23,28060.73,8.86,662.49,19.68,15.34,47.53,3.5416,TrailingStop,bull,41
52-Week High Breakout,Adani Ent.,2022-08-16,2022-08-23,2973.26,2927.53,115,-5259.16,769.68,-6028.84,-1.76,678.59,20.15,15.34,51.29,3.6277,TrailingStop,bull,7
52-Week High Breakout,Adani Ent.,2022-08-30,2022-09-27,3191.57,3489.96,105,31331.52,792.46,30539.06,9.11,701.56,20.84,15.34,50.27,3.7505,TrailingStop,bull,28
52-Week High Breakout,Adani Ent.,2022-11-07,2022-12-23,3957.15,3637.85,92,-29375.84,793.88,-30169.72,-8.29,698.74,20.75,15.34,54.61,3.7355,StopLoss,bull,46
52-Week High Breakout,Adani Ent.,2024-05-23,2024-06-04,3385.99,3112.77,99,-27048.34,732.19,-27780.53,-8.29,643.38,19.11,15.34,50.28,3.4395,StopLoss,bull,12
52-Week High Breakout,Adani Ports,2010-03-03,2010-05-03,131.34,133.19,723,1338.75,227.73,1111.02,1.17,191.25,5.68,15.34,14.24,1.0224,TrailingStop,bull,61
52-Week High Breakout,Adani Ports,2010-08-10,2010-10-14,150.42,153.35,638,1866.99,230.53,1636.46,1.71,193.81,5.76,15.34,14.4,1.0361,TrailingStop,bull,65
52-Week High Breakout,Adani Ports,2011-11-04,2011-11-11,152.93,140.59,638,-7872.66,223.99,-8096.65,-8.3,187.26,5.56,15.34,14.64,1.0011,StopLoss,bull,7
52-Week High Breakout,Adani Ports,2013-02-06,2013-02-14,144.8,136.66,620,-5047.29,209.6,-5256.89,-5.86,174.51,5.18,15.34,13.47,0.9329,TrailingStop,bull,8
52-Week High Breakout,Adani Ports,2013-05-16,2013-05-22,151.39,147.04,560,-2437.33,201.2,-2638.53,-3.11,167.12,4.96,15.34,12.72,0.8934,TrailingStop,bull,6
52-Week High Breakout,Adani Ports,2014-03-07,2014-04-10,175.92,172.98,468,-1376.1,196.86,-1572.96,-1.91,163.29,4.85,15.34,12.35,0.8729,TrailingStop,bull,34
52-Week High Breakout,Adani Ports,2014-04-10,2014-04-28,181.66,180.3,445,-605.93,194.35,-800.28,-0.99,161.07,4.78,15.34,12.13,0.8611,TrailingStop,bull,18
52-Week High Breakout,Adani Ports,2014-05-13,2014-05-21,211.31,207.09,379,-1601.79,191.64,-1793.43,-2.24,158.57,4.71,15.34,12.01,0.8477,TrailingStop,bull,8
52-Week High Breakout,Adani Ports,2014-07-02,2014-07-07,255.32,234.71,307,-6324.64,182.96,-6507.6,-8.3,150.44,4.47,15.34,11.76,0.8042,StopLoss,bull,5
52-Week High Breakout,Adani Ports,2014-07-07,2014-07-08,264.21,242.89,273,-5820.13,169.59,-5989.72,-8.3,138.44,4.11,15.34,10.82,0.7401,StopLoss,bull,1
52-Week High Breakout,Adani Ports,2014-08-20,2014-09-17,276.98,257.15,240,-4760.25,158.12,-4918.37,-7.4,128.19,3.81,15.34,9.97,0.6853,TrailingStop,bull,28
52-Week High Breakout,Adani Ports,2014-11-12,2014-12-08,284.11,261.19,217,-4974.75,147.18,-5121.93,-8.31,118.33,3.51,15.34,9.25,0.6326,StopLoss,bull,26
52-Week High Breakout,Adani Ports,2014-12-30,2015-02-05,298.57,299.66,191,208.93,142.28,66.65,0.12,114.26,3.39,15.34,8.55,0.6108,TrailingStop,bull,37
52-Week High Breakout,Adani Ports,2015-05-04,2015-05-07,328.05,301.58,174,-4605.82,137.41,-4743.23,-8.31,109.56,3.25,15.34,8.56,0.5857,StopLoss,bull,3
