strategy,instrument,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,pnl,pnl_pct,cost_stt,cost_txn,cost_dp,cost_stamp,cost_gst,reason,regime,duration
52-Week High Breakout,Adani Ports,2015-08-14,2015-08-24,344.77,316.95,152,-4228.61,127.41,-4356.02,-8.31,100.58,2.99,15.34,7.86,0.5377,StopLoss,bull,10
52-Week High Breakout,Adani Ports,2017-03-16,2017-04-13,310.11,307.54,156,-400.76,122.42,-523.18,-1.08,96.35,2.86,15.34,7.26,0.5151,TrailingStop,bull,28
52-Week High Breakout,Adani Ports,2017-07-17,2017-08-11,363.0,362.02,132,-129.47,121.68,-251.15,-0.52,95.7,2.84,15.34,7.19,0.5116,TrailingStop,bull,25
52-Week High Breakout,Adani Ports,2017-10-27,2017-11-16,412.72,379.42,115,-3829.8,116.84,-3946.64,-8.32,91.1,2.71,15.34,7.12,0.487,StopLoss,bull,20
52-Week High Breakout,Adani Ports,2019-05-24,2019-07-08,393.87,381.54,111,-1369.16,111.07,-1480.23,-3.39,86.07,2.56,15.34,6.56,0.4601,Signal,bull,45
52-Week High Breakout,Adani Ports,2020-11-18,2020-12-21,379.84,419.53,112,4445.93,114.48,4331.45,10.18,89.53,2.66,15.34,6.38,0.4786,TrailingStop,bull,33
52-Week High Breakout,Adani Ports,2021-01-13,2021-02-01,521.2,491.18,89,-2671.42,115.65,-2787.07,-6.01,90.1,2.68,15.34,6.96,0.4817,TrailingStop,bull,19
52-Week High Breakout,Adani Ports,2021-02-12,2021-03-17,598.84,670.45,73,5227.25,117.9,5109.35,11.69,92.66,2.75,15.34,6.56,0.4954,TrailingStop,bull,33
52-Week High Breakout,Adani Ports,2021-04-06,2021-04-07,811.49,772.79,60,-2321.92,121.13,-2443.05,-5.02,95.06,2.82,15.34,7.3,0.5082,TrailingStop,bull,1
52-Week High Breakout,Adani Ports,2021-06-07,2021-06-14,853.3,784.45,54,-3718.04,113.88,-3831.92,-8.32,88.44,2.63,15.34,6.91,0.4728,StopLoss,bull,7
52-Week High Breakout,Adani Ports,2022-04-22,2022-05-04,854.92,813.07,50,-2092.78,108.16,-2200.94,-5.15,83.4,2.48,15.34,6.41,0.4459,TrailingStop,bull,12
52-Week High Breakout,Adani Ports,2022-09-09,2022-09-26,893.05,874.66,45,-827.52,103.78,-931.3,-2.32,79.55,2.36,15.34,6.03,0.4253,TrailingStop,bull,17
52-Week High Breakout,Adani Ports,2023-12-05,2023-12-21,1004.39,982.65,39,-847.98,101.5,-949.48,-2.42,77.49,2.3,15.34,5.88,0.4143,TrailingStop,bull,16
52-Week High Breakout,Adani Ports,2024-01-09,2024-03-13,1186.81,1209.19,32,716.18,100.47,615.71,1.62,76.67,2.28,15.34,5.7,0.4099,TrailingStop,bull,64
52-Week High Breakout,Adani Ports,2024-04-02,2024-04-18,1392.08,1279.75,28,-3145.15,98.69,-3243.84,-8.32,74.81,2.22,15.34,5.85,0.3999,StopLoss,bull,16
52-Week High Breakout,Adani Ports,2024-05-23,2024-06-04,1430.94,1315.48,25,-2886.56,91.84,-2978.4,-8.33,68.66,2.04,15.34,5.37,0.3671,StopLoss,bull,12
52-Week High Breakout,Adani Ports,2024-08-01,2024-08-12,1583.24,1455.49,21,-2682.79,86.44,-2769.23,-8.33,63.81,1.9,15.34,4.99,0.3411,StopLoss,bull,11
52-Week High Breakout,Adani Ports,2025-10-16,2025-12-29,1480.24,1453.67,21,-557.91,83.84,-641.75,-2.06,61.61,1.83,15.34,4.66,0.3294,Signal,bull,74
52-Week High Breakout,Adani Ports,2026-02-03,2026-03-02,1531.57,1469.56,19,-1178.01,78.78,-1256.79,-4.32,57.02,1.69,15.34,4.36,0.3048,Signal,bull,27
52-Week High Breakout,Apollo Hosp.,2005-09-19,2005-09-20,196.56,212.08,483,7498.26,234.07,7264.19,7.65,197.37,5.86,15.34,14.24,1.0552,TrailingStop,bull,1
52-Week High Breakout,Apollo Hosp.,2005-09-20,2005-09-21,235.88,216.85,432,-8222.38,233.25,-8455.63,-8.3,195.58,5.81,15.34,15.29,1.0456,StopLoss,bull,1
52-Week High Breakout,Apollo Hosp.,2006-01-06,2006-01-17,238.75,219.48,393,-7570.92,215.99,-7786.91,-8.3,180.08,5.35,15.34,14.07,0.9627,StopLoss,bull,11
52-Week High Breakout,Apollo Hosp.,2006-01-23,2006-01-24,255.16,234.57,338,-6958.91,199.77,-7158.68,-8.3,165.53,4.92,15.34,12.94,0.8849,StopLoss,bull,1
52-Week High Breakout,Apollo Hosp.,2008-01-01,2008-01-04,266.83,255.66,298,-3326.54,188.58,-3515.12,-4.42,155.7,4.62,15.34,11.93,0.8324,TrailingStop,sideways,3
52-Week High Breakout,Apollo Hosp.,2009-05-21,2009-05-22,243.37,233.27,313,-3163.19,181.33,-3344.52,-4.39,149.19,4.43,15.34,11.43,0.7976,TrailingStop,sideways,1
52-Week High Breakout,Apollo Hosp.,2009-06-24,2009-06-25,245.21,240.7,298,-1344.38,176.32,-1520.7,-2.08,144.8,4.3,15.34,10.96,0.7741,TrailingStop,bull,1
52-Week High Breakout,Apollo Hosp.,2009-06-25,2009-07-01,260.84,239.8,274,-5767.02,168.18,-5935.2,-8.3,137.18,4.07,15.34,10.72,0.7333,StopLoss,bull,6
52-Week High Breakout,Apollo Hosp.,2009-12-24,2009-12-29,276.59,290.92,238,3410.48,165.15,3245.33,4.93,135.07,4.01,15.34,9.87,0.7221,TrailingStop,bull,5
52-Week High Breakout,Apollo Hosp.,2009-12-29,2010-01-04,309.22,303.04,223,-1379.04,167.14,-1546.18,-2.24,136.53,4.06,15.34,10.34,0.7299,TrailingStop,bull,6
52-Week High Breakout,Apollo Hosp.,2010-01-04,2010-01-06,322.77,309.31,209,-2814.38,162.33,-2976.71,-4.41,132.11,3.92,15.34,10.12,0.7062,TrailingStop,bull,2
52-Week High Breakout,Apollo Hosp.,2010-03-19,2010-05-05,342.37,342.75,189,71.39,159.2,-87.81,-0.14,129.49,3.85,15.34,9.71,0.6922,TrailingStop,bull,47
52-Week High Breakout,Apollo Hosp.,2010-06-23,2010-06-30,380.89,350.15,170,-5224.73,153.81,-5378.54,-8.31,124.28,3.69,15.34,9.71,0.6644,StopLoss,bull,7
52-Week High Breakout,Apollo Hosp.,2010-08-18,2010-09-27,386.33,415.07,154,4426.36,152.13,4274.23,7.18,123.41,3.67,15.34,8.92,0.6598,TrailingStop,bull,40
52-Week High Breakout,Apollo Hosp.,2010-09-29,2010-10-07,424.68,455.56,150,4632.57,161.69,4470.88,7.02,132.04,3.92,15.34,9.56,0.7059,TrailingStop,bull,8
52-Week High Breakout,Apollo Hosp.,2010-10-07,2010-10-13,483.84,505.93,140,3092.37,169.06,2923.31,4.32,138.57,4.12,15.34,10.16,0.7408,TrailingStop,bull,6
52-Week High Breakout,Apollo Hosp.,2010-10-13,2010-10-14,537.56,505.93,131,-4143.52,167.53,-4311.05,-6.12,136.7,4.06,15.34,10.56,0.7308,TrailingStop,bull,1
52-Week High Breakout,Apollo Hosp.,2011-11-08,2011-11-14,545.17,501.18,122,-5366.73,157.57,-5524.3,-8.31,127.65,3.79,15.34,9.98,0.6824,StopLoss,bull,6
52-Week High Breakout,Apollo Hosp.,2011-11-24,2011-12-02,569.42,603.57,107,3654.1,154.51,3499.59,5.74,125.51,3.73,15.34,9.14,0.671,TrailingStop,bull,8
52-Week High Breakout,Apollo Hosp.,2011-12-02,2011-12-07,632.21,610.42,102,-2222.73,156.33,-2379.06,-3.69,126.75,3.76,15.34,9.67,0.6776,TrailingStop,bull,5
52-Week High Breakout,Apollo Hosp.,2012-05-29,2012-06-18,641.05,592.9,97,-4670.16,148.67,-4818.83,-7.75,119.69,3.55,15.34,9.33,0.6399,TrailingStop,bull,20
52-Week High Breakout,Apollo Hosp.,2012-09-14,2012-11-09,646.26,769.69,89,10985.21,154.53,10830.68,18.83,126.02,3.74,15.34,8.63,0.6737,TrailingStop,bull,56
52-Week High Breakout,Apollo Hosp.,2013-05-08,2013-05-20,861.97,939.42,79,6118.4,172.99,5945.41,8.73,142.31,4.23,15.34,10.21,0.7608,TrailingStop,bull,12
52-Week High Breakout,Apollo Hosp.,2014-08-13,2014-09-16,1089.49,1058.89,67,-2050.36,175.42,-2225.78,-3.05,143.94,4.28,15.34,10.95,0.7695,TrailingStop,bull,34
52-Week High Breakout,Apollo Hosp.,2014-11-19,2014-12-10,1164.3,1070.35,61,-5730.77,167.22,-5897.99,-8.3,136.31,4.05,15.34,10.65,0.7287,StopLoss,bull,21
52-Week High Breakout,Apollo Hosp.,2015-01-27,2015-02-03,1298.08,1245.61,50,-2623.56,156.84,-2780.4,-4.28,127.18,3.78,15.34,9.74,0.6799,TrailingStop,bull,7
52-Week High Breakout,Apollo Hosp.,2015-10-05,2015-10-28,1429.27,1313.94,44,-5074.43,149.83,-5224.26,-8.31,120.7,3.58,15.34,9.43,0.6453,StopLoss,bull,23
52-Week High Breakout,Apollo Hosp.,2018-11-15,2018-12-06,1237.18,1172.06,47,-3060.61,141.38,-3201.99,-5.51,113.23,3.36,15.34,8.72,0.6053,TrailingStop,bull,21
52-Week High Breakout,Apollo Hosp.,2019-01-04,2019-02-08,1267.47,1231.78,43,-1534.59,134.86,-1669.45,-3.06,107.47,3.19,15.34,8.18,0.5745,Signal,bull,35
52-Week High Breakout,Apollo Hosp.,2019-06-07,2019-08-02,1370.59,1260.0,39,-4313.12,129.65,-4442.77,-8.31,102.59,3.05,15.34,8.02,0.5485,StopLoss,bull,56
52-Week High Breakout,Apollo Hosp.,2019-08-16,2019-09-17,1441.56,1397.86,34,-1485.65,122.71,-1608.36,-3.28,96.54,2.87,15.34,7.35,0.5161,TrailingStop,bull,32
52-Week High Breakout,Apollo Hosp.,2020-01-16,2020-03-09,1566.4,1604.79,30,1151.91,120.95,1030.96,2.19,95.14,2.83,15.34,7.05,0.5086,TrailingStop,bull,53
52-Week High Breakout,Apollo Hosp.,2020-09-18,2020-10-22,1805.75,2071.56,27,7176.87,131.11,7045.76,14.45,104.69,3.11,15.34,7.31,0.5597,TrailingStop,bull,34
52-Week High Breakout,Apollo Hosp.,2021-01-05,2021-02-15,2478.3,2776.59,22,6562.34,143.29,6419.05,11.77,115.61,3.43,15.34,8.18,0.618,TrailingStop,bull,41
52-Week High Breakout,Apollo Hosp.,2021-02-15,2021-02-19,3052.29,2916.0,20,-2725.82,148.17,-2873.99,-4.71,119.37,3.55,15.34,9.16,0.6381,TrailingStop,bull,4
52-Week High Breakout,Apollo Hosp.,2021-04-20,2021-06-24,3229.06,3160.33,18,-1237.27,143.21,-1380.48,-2.38,115.01,3.42,15.34,8.72,0.6148,Signal,bull,65
52-Week High Breakout,Apollo Hosp.,2021-06-25,2021-08-17,3396.31,4416.61,17,17345.14,161.61,17183.53,29.76,132.82,3.94,15.34,8.66,0.7101,TrailingStop,bull,53
52-Week High Breakout,Apollo Hosp.,2021-08-17,2021-09-27,4859.42,4467.32,15,-5881.6,171.22,-6052.82,-8.3,139.9,4.16,15.34,10.93,0.7479,StopLoss,bull,41
52-Week High Breakout,Apollo Hosp.,2021-11-16,2021-11-17,5036.66,5192.64,13,2027.84,162.94,1864.9,2.85,132.98,3.95,15.34,9.82,0.7109,TrailingStop,bull,1
52-Week High Breakout,Apollo Hosp.,2021-11-17,2021-12-06,5666.23,5209.02,12,-5486.5,160.75,-5647.25,-8.31,130.5,3.88,15.34,10.2,0.6977,StopLoss,bull,19
52-Week High Breakout,Apollo Hosp.,2023-06-02,2023-08-01,4928.71,4988.32,13,774.85,158.52,616.33,0.96,128.92,3.83,15.34,9.61,0.6892,Signal,bull,60
52-Week High Breakout,Apollo Hosp.,2023-11-17,2024-02-29,5446.41,6149.65,12,8438.94,169.31,8269.63,12.65,139.15,4.13,15.34,9.8,0.7439,TrailingStop,bull,104
52-Week High Breakout,Apollo Hosp.,2024-09-12,2024-10-04,7036.99,6743.06,10,-2939.33,168.66,-3107.99,-4.42,137.8,4.09,15.34,10.56,0.7367,Signal,bull,22
52-Week High Breakout,Apollo Hosp.,2024-11-07,2024-11-13,7398.76,6801.76,9,-5373.06,157.74,-5530.8,-8.31,127.8,3.8,15.34,9.99,0.6832,StopLoss,bull,6
52-Week High Breakout,Apollo Hosp.,2025-01-06,2025-01-09,7403.05,7059.57,8,-2747.81,144.1,-2891.91,-4.88,115.7,3.44,15.34,8.88,0.6185,Signal,bull,3
52-Week High Breakout,Apollo Hosp.,2025-07-01,2025-08-06,7480.23,7167.2,8,-2504.21,145.72,-2649.93,-4.43,117.18,3.48,15.34,8.98,0.6264,Signal,bull,36
52-Week High Breakout,Apollo Hosp.,2025-08-13,2025-09-26,7792.07,7496.29,7,-2070.46,134.4,-2204.86,-4.04,107.02,3.18,15.34,8.18,0.5721,Signal,bull,44
52-Week High Breakout,Apollo Hosp.,2025-10-20,2025-10-31,8003.38,7666.98,7,-2354.79,137.39,-2492.18,-4.45,109.69,3.26,15.34,8.4,0.5864,Signal,bull,11
52-Week High Breakout,Asian Paints,2005-08-30,2005-10-27,38.87,35.73,2444,-7665.19,218.49,-7883.68,-8.3,182.33,5.42,15.34,14.25,0.9747,StopLoss,bull,58
52-Week High Breakout,Asian Paints,2005-12-02,2006-02-07,44.53,58.2,1965,26877.19,237.61,26639.58,30.45,201.87,6.0,15.34,13.12,1.0792,TrailingStop,bull,67
52-Week High Breakout,Asian Paints,2006-11-06,2006-12-05,57.95,56.95,1946,-1947.67,263.9,-2211.57,-1.96,223.59,6.64,15.34,16.92,1.1953,TrailingStop,bull,29
52-Week High Breakout,Asian Paints,2007-01-15,2007-01-16,64.58,63.12,1714,-2505.14,258.71,-2763.85,-2.5,218.88,6.5,15.34,16.6,1.1701,TrailingStop,bull,1
52-Week High Breakout,Asian Paints,2007-01-16,2007-02-13,65.27,61.41,1656,-6381.37,248.9,-6630.27,-6.13,209.79,6.23,15.34,16.21,1.1215,TrailingStop,bull,28
52-Week High Breakout,Asian Paints,2007-05-22,2007-06-08,68.53,71.5,1485,4410.81,246.06,4164.75,4.09,207.95,6.18,15.34,15.27,1.1117,TrailingStop,bull,17
52-Week High Breakout,Asian Paints,2007-07-16,2007-10-17,73.21,79.24,1444,8711.77,259.26,8452.51,8.0,220.13,6.54,15.34,15.86,1.1768,Signal,bull,93
52-Week High Breakout,Asian Paints,2007-10-25,2007-10-26,92.52,85.06,1229,-9175.17,258.51,-9433.68,-8.3,218.24,6.48,15.34,17.06,1.1667,StopLoss,bull,1
52-Week High Breakout,Asian Paints,2009-07-24,2009-08-10,113.11,112.43,926,-627.62,247.43,-875.05,-0.84,208.85,6.2,15.34,15.71,1.1165,TrailingStop,bull,17
