strategy,instrument,cagr,total_return,final_value,max_dd,sharpe,calmar,win_rate,total_trades,avg_win,avg_loss,profit_factor,avg_duration,total_costs,expectancy,avg_rsi_entry,years,bull_wr,bull_pnl,bear_wr,bear_pnl,sideways_wr,sideways_pnl
GFS Basic,RELIANCE,1.03,22.82,122817.0,9.4,0.53,0.11,48.1,27,5.04,-2.93,1.56,8.7,6433.0,0.91,40.6,20.0,48.1,0.91,0.0,0.0,0.0,0.0
GFS Advanced,RELIANCE,0.2,4.06,104059.0,10.96,0.17,0.02,40.0,15,5.5,-3.02,1.16,8.1,3283.0,0.39,40.7,20.0,40.0,0.39,0.0,0.0,0.0,0.0
